integralf_1.txt,wrench_mz.txt,integralf_3.txt,proportionalf_3.txt,proportionalf_5.txt,proportionalf_1.txt,wrench_fy.txt,wrench_my.txt,integralf_5.txt,integralf_4.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mx.txt,wrench_fx.txt,integralf_2.txt,proportionalf_2.txt,error_pos_4.txt,trq2.txt,posa2.txt,trq5.txt,veld1.txt,posa3.txt,error_pos_1.txt,error_pos_3.txt,accd1.txt,posd1.txt,veld4.txt,error_pos_5.txt,veld5.txt,posa5.txt,vela4.txt,vela3.txt,vela1.txt,accd3.txt,error_vel_2.txt,trq1.txt,posd4.txt,error_vel_3.txt,posd5.txt,veld3.txt,accd4.txt,error_vel_1.txt,error_vel_5.txt,vela5.txt,error_pos_2.txt,trq3.txt,error_vel_4.txt,posa1.txt,veld2.txt,posa4.txt,posd3.txt,accd5.txt,vela2.txt,trq4.txt,posd2.txt,accd2.txt
,,,,,,,,,,,,,,,,0.00131656,0.668928,0.000231592,-0.664489,0.0278375,-0.0113883,0.00200321,0.00911797,0.250429,0.00200321,0.0259816,-0.00025053,0.00205251,0.000420354,0.00147493,0.0,-0.0,-0.283819,0.0123195,-0.0,0.00186966,-0.0315491,0.000169824,-0.0315491,0.233733,0.0278375,0.000577583,0.00147493,0.000703238,-1.71855,0.0245067,-0.0,0.0129908,0.000553097,-0.0022703,0.0184646,0.00067128,0.054315,0.000934829,0.116867
,,,,,,,,,,,,,,,,0.00154397,0.700284,0.00025173,-0.650573,0.0303908,-0.0113883,0.0022842,0.00878811,0.2602,0.00229427,0.0283647,-0.000251193,0.00224077,0.000442478,0.00147493,0.0,-0.0,-0.294893,0.0135111,0.005226,0.00214131,-0.0344429,0.000191284,-0.0344429,0.242853,0.0303908,0.00224077,-0.0,0.000818927,-1.7219,0.0268898,1.00692e-05,0.0141824,0.000597345,-0.00260017,0.019185,0.00067128,0.061557,0.00107066,0.121427
,,,,,,,,,,,,,,,,0.00177354,0.73164,0.000261799,-0.636657,0.0330408,-0.0113883,0.00260127,0.00842875,0.269783,0.00261134,0.0308381,-0.000249938,0.00243616,0.000464602,0.0058997,0.0,0.00067128,-0.305754,0.0134052,0.005226,0.00243725,-0.0374463,0.000214663,-0.0374463,0.251798,0.0323695,0.000961238,0.00147493,0.000956828,-1.7219,0.0249384,1.00692e-05,0.0154191,0.000663717,-0.00295952,0.0198916,0.00201384,0.076041,0.00121863,0.125899
,,,,,,,,,,,,,,,,0.00202828,0.768222,0.000281938,-0.622741,0.0357858,-0.0113883,0.00294533,0.00803882,0.27918,0.0029554,0.0334001,-0.000246695,0.00263856,0.000486726,0.0058997,0.0,-0.0,-0.316404,0.0160288,0.036582,0.00275837,-0.0405572,0.000240031,-0.0405572,0.260568,0.0357858,0.00116363,0.00147493,0.00109725,-1.7219,0.0275004,1.00692e-05,0.0167,0.000730088,-0.00334945,0.0205845,0.00067128,0.083283,0.00137919,0.130284
,,,,,,,,,,,,,,,,0.00228696,0.778674,0.000312145,-0.605346,0.0386238,-0.011404,0.00330723,0.00763296,0.288391,0.00332737,0.0360489,-0.000241392,0.00284781,0.00050885,0.00884956,0.0,-0.0,-0.326843,0.0160106,0.10452,0.00310555,-0.0437737,0.000267457,-0.0437737,0.269165,0.0386238,0.00137288,0.00147493,0.00124063,-1.7286,0.0271993,2.01384e-05,0.0180244,0.000818584,-0.00377102,0.0212636,0.00201384,0.090525,0.00155277,0.134583
,,,,,,,,,,,,,,,,0.00250618,0.794352,0.000352422,-0.584472,0.041553,-0.0113883,0.00370804,0.007163,0.297418,0.00372818,0.0387828,-0.000233964,0.00306378,0.000530973,0.0147493,-0.0010472,0.00067128,-0.337073,0.0167063,0.135876,0.00347963,-0.0460462,0.00029701,-0.0470934,0.27759,0.0408817,0.00158886,0.00147493,0.00138739,-1.74535,0.0240335,2.01384e-05,0.0193914,0.000973451,-0.00422527,0.0219292,0.00268512,0.119493,0.00173982,0.138795
,,,,,,,,,,,,,,,,0.00264254,0.820482,0.000412837,-0.584472,0.0445716,-0.0113883,0.00412852,0.00667505,0.306261,0.00415873,0.0416001,-0.000224342,0.00328635,0.000553097,0.0265487,0.0010472,-0.0,-0.347095,0.0147585,0.18291,0.00388148,-0.0515616,0.000328755,-0.0505144,0.285843,0.0445716,0.00181142,0.00147493,0.0015279,-1.7487,0.0150514,3.02076e-05,0.0208001,0.00123894,-0.00471322,0.0225812,0.00604152,0.133977,0.00194074,0.142922
,,,,,,,,,,,,,,,,0.00256412,0.815256,0.000523599,-0.570556,0.0476776,-0.011404,0.00456956,0.00616809,0.314921,0.0046199,0.0444991,-0.000212463,0.00351536,0.000575221,0.0442478,0.0,0.00067128,-0.356911,0.0121803,0.2613,0.00431191,-0.0540346,0.000362758,-0.0540346,0.293926,0.0470063,0.00204044,0.00147493,0.00163236,-1.7487,0.000251321,5.0346e-05,0.0222496,0.00174779,-0.00523589,0.0232197,0.0100692,0.152082,0.00215595,0.146963
,,,,,,,,,,,,,,,,0.00236022,0.799578,0.000704845,-0.55664,0.0508694,-0.011404,0.00505215,0.00560974,0.3234,0.00511257,0.0474781,-0.000198262,0.0037507,0.000597345,0.0663717,-0.0010472,0.00067128,-0.36652,0.00695703,0.308334,0.00477173,-0.0566048,0.000399083,-0.057652,0.30184,0.0501981,0.00227577,0.00147493,0.00168102,-1.77885,-0.0188936,6.04152e-05,0.023739,0.0024115,-0.00579424,0.0238449,0.016782,0.170187,0.00238586,0.15092
,,,,,,,,,,,,,,,,0.00209801,0.726414,0.000976713,-0.549682,0.054145,-0.011404,0.00554695,0.00501474,0.331699,0.00563757,0.0505354,-0.000181676,0.00399222,0.000619469,0.079646,0.0,0.00268512,-0.375926,-0.0029261,0.344916,0.00526173,-0.0613644,0.000437793,-0.0613644,0.309586,0.0514599,0.00251729,0.00147493,0.00165415,-1.80565,-0.0291107,9.06229e-05,0.0252677,0.00316372,-0.00638924,0.0244568,0.0281938,0.195534,0.00263087,0.154793
,,,,,,,,,,,,,,,,0.00180039,0.710736,0.00122844,-0.518371,0.0575028,-0.011404,0.00607491,0.00438214,0.339819,0.00619574,0.0536692,-0.000162645,0.00423979,0.000641593,0.079646,0.0,0.00268512,-0.385128,0.00266852,0.402402,0.00578269,-0.0651698,0.000478948,-0.0651698,0.317164,0.0548176,0.00276486,0.00147493,0.0016629,-1.8157,-0.0259768,0.00012083,0.0268346,0.0039823,-0.00702184,0.0250555,0.0241661,0.199155,0.00289135,0.158582
,,,,,,,,,,,,,,,,0.00168935,0.695058,0.00144997,-0.514892,0.0609408,-0.011404,0.00661671,0.00371104,0.34776,0.00678789,0.0568781,-0.000141109,0.00449328,0.000663717,0.0707965,0.0,0.00268512,-0.394128,0.0056155,0.423306,0.00633537,-0.0690662,0.000522608,-0.0690662,0.324576,0.0582557,0.00301836,0.00147493,0.00171772,-1.83915,-0.0139184,0.000171177,0.028439,0.00464602,-0.00769294,0.025641,0.0228235,0.228123,0.00316768,0.162288
,,,,,,,,,,,,,,,,0.00169926,0.632346,0.0017017,-0.500976,0.0644574,-0.011404,0.00715302,0.00300052,0.355524,0.00741482,0.0601602,-0.000117008,0.00475257,0.000685841,0.0575221,0.0,0.00469896,-0.402927,0.00524273,0.47034,0.0069205,-0.0730517,0.000568833,-0.0730517,0.331822,0.0597584,0.00327764,0.00147493,0.00175855,-1.8626,0.00263809,0.000261799,0.0300801,0.00522124,-0.00840346,0.0262135,0.0248374,0.242607,0.00346025,0.165911
,,,,,,,,,,,,,,,,0.00167598,0.590538,0.00188294,-0.497497,0.0680507,-0.011404,0.00765439,0.00224971,0.363112,0.00807729,0.063514,-9.02862e-05,0.00501751,0.000707965,0.0619469,0.0,0.0161107,-0.411527,0.0136324,0.486018,0.00753881,-0.0771241,0.000617678,-0.0771241,0.338905,0.05194,0.00354258,0.00147493,0.00188646,-1.88605,0.00156708,0.000422907,0.031757,0.00586283,-0.00915427,0.0267729,0.0181246,0.246228,0.0037694,0.169452
,,,,,,,,,,,,,,,,0.00170871,0.762996,0.00195343,-0.494018,0.071719,-0.011404,0.00810144,0.00145776,0.370525,0.00877608,0.0669378,-6.08872e-05,0.00528798,0.000730088,0.0619469,0.0,0.0241661,-0.419928,0.0254135,0.459888,0.00819101,-0.0812816,0.000669201,-0.0812816,0.345823,0.0475529,0.00381306,0.00147493,0.00214208,-1.90615,0.00499086,0.000674637,0.0334689,0.0064823,-0.00994623,0.0273195,0.00805537,0.25347,0.0040955,0.172912
,,,,,,,,,,,,,,,,0.00193089,0.872742,0.00198363,-0.480102,0.0754606,-0.011404,0.00861576,0.000623806,0.377764,0.00951192,0.0704299,-2.87564e-05,0.00556386,0.000752212,0.0486726,0.0,0.0228235,-0.428132,0.0325298,0.47034,0.00887779,-0.085522,0.000723456,-0.085522,0.352579,0.0526371,0.00408893,0.00147493,0.00245526,-1.9162,0.0217573,0.000896159,0.035215,0.0069469,-0.0107802,0.0278532,0.00268512,0.249849,0.0044389,0.17629
,,,,,,,,,,,,,,,,0.00223257,0.961584,0.00201384,-0.466186,0.0792737,-0.011404,0.00923833,-0.000252955,0.38483,0.0102855,0.0739888,6.15966e-06,0.005845,0.000774336,0.0412979,0.0,0.0228235,-0.43614,0.0343093,0.642798,0.00959983,-0.0898436,0.000780496,-0.0898436,0.359174,0.0564502,0.00437008,0.00147493,0.00278607,-1.9631,0.0326909,0.0010472,0.0369944,0.00736726,-0.0116569,0.0283742,0.00268512,0.249849,0.00479991,0.179587
