proportionalf_2.txt,wrench_fz.txt,integralf_4.txt,proportionalf_5.txt,wrench_fy.txt,integralf_3.txt,proportionalf_4.txt,wrench_my.txt,integralf_1.txt,wrench_mz.txt,integralf_2.txt,integralf_5.txt,proportionalf_1.txt,wrench_mx.txt,proportionalf_3.txt,wrench_fx.txt,posd3.txt,posa3.txt,posa2.txt,accd1.txt,veld3.txt,trq1.txt,accd4.txt,vela2.txt,error_vel_3.txt,error_pos_5.txt,error_pos_1.txt,trq3.txt,posd5.txt,error_pos_2.txt,veld1.txt,posd4.txt,trq5.txt,trq2.txt,vela1.txt,error_vel_5.txt,veld2.txt,error_vel_4.txt,accd5.txt,error_vel_2.txt,posd2.txt,veld4.txt,posa5.txt,vela3.txt,error_pos_4.txt,posa1.txt,posd1.txt,error_vel_1.txt,trq4.txt,accd2.txt,vela5.txt,posa4.txt,vela4.txt,accd3.txt,veld5.txt,error_pos_3.txt
,,,,,,,,,,,,,,,,-0.999922,-0.948824,0.478448,-0.10584,-0.00288115,1.62006,-0.0351137,-0.0,-0.00288115,0.106762,0.0776483,-2.6532,0.110612,0.0215127,0.0043218,0.499961,0.017395,2.40919,-0.0,0.000311902,0.0014406,0.00143378,-0.00763901,0.0014406,0.499961,0.00143378,0.00384956,0.0,0.0603818,1.42224,1.49988,0.0043218,0.825588,-0.03528,-0.0,0.43958,-0.0,0.0705589,0.000311902,-0.0510986
,,,,,,,,,,,,,,,,-0.999948,-0.948824,0.478448,-0.0933298,-0.00221715,1.59916,-0.0309631,-0.0,-0.00221715,0.106765,0.0776865,-2.6599,0.110614,0.0215255,0.00332578,0.499974,0.006958,2.40396,-0.0,0.000240015,0.00110859,0.00110334,-0.00673589,0.00110859,0.499974,0.00110334,0.00384956,0.0,0.0603944,1.42224,1.49992,0.00332578,0.821967,-0.0311099,-0.0,0.43958,-0.0,0.0622189,0.000240015,-0.051124
,,,,,,,,,,,,,,,,-0.999967,-0.948824,0.478448,-0.0806161,-0.00163723,1.5678,-0.026745,-0.0,-0.00163723,0.106767,0.0777153,-2.6599,0.110616,0.0215351,0.00245588,0.499984,-0.017395,2.3726,-0.0,0.000177233,0.000818627,0.000814747,-0.00581813,0.000818627,0.499984,0.000814747,0.00384956,0.0,0.060404,1.42224,1.49995,0.00245588,0.821967,-0.026872,-0.0,0.43958,-0.0,0.0537432,0.000177233,-0.0511432
,,,,,,,,,,,,,,,,-0.999981,-0.948824,0.478448,-0.0676978,-0.00114274,1.56257,-0.0224591,-0.0,-0.00114274,0.106768,0.077736,-2.65655,0.110618,0.021542,0.00171414,0.49999,0.024353,2.37783,-0.0,0.000123702,0.000571381,0.00056867,-0.00488566,0.000571381,0.49999,0.00056867,0.00384956,0.0,0.0604109,1.42224,1.49997,0.00171414,0.821967,-0.0225659,-0.0,0.43958,-0.0,0.0451311,0.000123702,-0.051157
,,,,,,,,,,,,,,,,-0.99999,-0.948824,0.478448,-0.0545738,-0.000735063,1.5469,-0.018105,-0.0,-0.000735063,0.106769,0.07775,-2.6465,0.110619,0.0215466,0.00110261,0.499995,-0.024353,2.38306,-0.0,7.95689e-05,0.000367537,0.000365792,-0.00393841,0.000367537,0.499995,0.000365792,0.00384956,0.0,0.0604155,1.42224,1.49999,0.00110261,0.821967,-0.0181913,-0.0,0.43958,-0.0,0.0363819,7.95689e-05,-0.0511663
,,,,,,,,,,,,,,,,-0.999996,-0.948824,0.478448,-0.041243,-0.000415564,1.53644,-0.0136824,-0.0,-0.000415564,0.10677,0.0777585,-2.62975,0.11062,0.0215495,0.000623356,0.499998,0.031311,2.39351,-0.0,4.4983e-05,0.000207785,0.000206798,-0.00297629,0.000207785,0.499998,0.000206798,0.00384956,0.0,0.0604183,1.42224,1.49999,0.000623356,0.821967,-0.0137477,-0.0,0.43958,-0.0,0.0274949,4.4983e-05,-0.051172
,,,,,,,,,,,,,,,,-0.999999,-0.948824,0.478448,-0.0277045,-0.000185627,1.51554,-0.00919096,-0.0,-0.000185627,0.10677,0.0777629,-2.62975,0.11062,0.0215509,0.000278445,0.499999,0.020874,2.37783,-0.0,2.00929e-05,9.28148e-05,9.23734e-05,-0.00199923,9.28148e-05,0.499999,9.23734e-05,0.00384956,0.0,0.0604198,1.42224,1.5,0.000278445,0.814725,-0.00923484,-0.0,0.43958,-0.0,0.0184694,2.00929e-05,-0.0511749
,,,,,,,,,,,,,,,,-1.0,-0.948824,0.478448,-0.0139572,-4.66402e-05,1.47373,-0.00463027,-0.0,-4.66402e-05,0.10677,0.0777645,-2.6331,0.11062,0.0215515,6.99614e-05,0.5,-0.013916,2.36215,-0.0,5.04841e-06,2.33205e-05,2.32095e-05,-0.00100716,2.33205e-05,0.5,2.32095e-05,0.00384956,0.0,0.0604203,1.42224,1.5,6.99614e-05,0.818346,-0.0046524,-0.0,0.43958,-0.0,0.00930466,5.04841e-06,-0.051176
,,,,,,,,,,,,,,,,-1.0,-0.948824,0.478448,-0.0139572,-4.66402e-05,1.46851,-0.00463027,-0.0,-4.66402e-05,0.10677,0.0777645,-2.62975,0.11062,0.0215515,6.99614e-05,0.5,-0.010437,2.39873,-0.0,5.04841e-06,2.33205e-05,2.32095e-05,-0.00100716,2.33205e-05,0.5,2.32095e-05,0.00384956,0.0,0.0604203,1.42224,1.5,6.99614e-05,0.818346,-0.0046524,-0.0,0.43958,-0.0,0.00930466,5.04841e-06,-0.051176
,,,,,,,,,,,,,,,,-1.0,-0.948824,0.478448,-0.0139572,-4.66402e-05,1.46851,-0.00463027,-0.0,-4.66402e-05,0.10677,0.0777645,-2.6331,0.11062,0.0215515,6.99614e-05,0.5,0.038269,2.40396,-0.0,5.04841e-06,2.33205e-05,2.32095e-05,-0.00100716,2.33205e-05,0.5,2.32095e-05,0.00384956,0.0,0.0604203,1.42224,1.5,6.99614e-05,0.818346,-0.0046524,-0.0,0.43958,-0.0,0.00930466,5.04841e-06,-0.051176
,,,,,,,,,,,,,,,,-1.0,-0.948824,0.478448,-0.0139572,-4.66402e-05,1.47373,-0.00463027,-0.0,-4.66402e-05,0.10677,0.0777645,-2.63645,0.11062,0.0215515,6.99614e-05,0.5,0.003479,2.3726,-0.0,5.04841e-06,2.33205e-05,2.32095e-05,-0.00100716,2.33205e-05,0.5,2.32095e-05,0.00384956,0.0,0.0604203,1.42224,1.5,6.99614e-05,0.807483,-0.0046524,-0.0,0.43958,-0.0,0.00930466,5.04841e-06,-0.051176
