proportionalf_1.txt,wrench_mx.txt,wrench_fx.txt,integralf_3.txt,wrench_fy.txt,integralf_2.txt,integralf_1.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mz.txt,proportionalf_3.txt,integralf_5.txt,integralf_4.txt,wrench_my.txt,proportionalf_5.txt,proportionalf_2.txt,posd1.txt,error_vel_4.txt,accd1.txt,accd5.txt,vela4.txt,error_vel_1.txt,trq1.txt,error_pos_1.txt,posa3.txt,error_vel_2.txt,error_pos_3.txt,error_pos_2.txt,veld2.txt,error_pos_4.txt,posd5.txt,posa2.txt,error_vel_3.txt,accd3.txt,error_vel_5.txt,trq2.txt,veld1.txt,posd3.txt,accd4.txt,vela5.txt,trq5.txt,posd2.txt,accd2.txt,posa1.txt,veld4.txt,veld5.txt,trq3.txt,posd4.txt,error_pos_5.txt,vela1.txt,posa5.txt,vela3.txt,posa4.txt,vela2.txt,veld3.txt,trq4.txt
,,,,,,,,,,,,,,,,0.34412,0.0602683,0.8316,0.364469,0.244838,0.096809,1.7089,0.0751509,-0.0208916,0.0609638,-0.0829145,0.0233106,0.0609638,0.0735138,0.152566,0.004219,-0.133496,-0.223649,0.335588,1.79252,0.762048,-0.103806,0.331205,-0.0,-0.020874,0.0275296,0.066528,0.268969,0.305106,0.335588,-3.6247,0.138801,0.149048,0.665239,0.0035177,-0.0816814,0.0652876,-0.0,-0.215178,0.803862
,,,,,,,,,,,,,,,,0.351782,0.0679952,0.82661,0.362277,0.240413,0.095031,1.76116,0.0762377,-0.0217398,0.0609559,-0.0842292,0.0239235,0.0616271,0.0741256,0.15594,0.004219,-0.132584,-0.222275,0.337747,1.79774,0.770339,-0.105969,0.329213,0.00147493,0.066101,0.0281425,0.0661288,0.275544,0.308408,0.339222,-3.5644,0.141869,0.1524,0.675308,0.00353982,-0.084823,0.0677434,0.00067128,-0.217407,0.673506
,,,,,,,,,,,,,,,,0.359526,0.0683273,0.821468,0.360019,0.243363,0.0952162,1.73503,0.0770849,-0.0227137,0.0622864,-0.0854405,0.0245431,0.0622864,0.0747704,0.159351,0.004219,-0.130611,-0.220859,0.342833,1.77161,0.77858,-0.108154,0.32716,-0.0,0.062622,0.0287621,0.0657174,0.282441,0.31169,0.342833,-3.60795,0.144969,0.155811,0.683364,0.00353982,-0.0890118,0.0701991,-0.0,-0.219623,0.572118
,,,,,,,,,,,,,,,,0.367353,0.0538893,0.816174,0.357693,0.261062,0.0933353,1.78207,0.0778532,-0.0238447,0.0629414,-0.0865168,0.0251592,0.0629414,0.075116,0.162797,0.00422907,-0.124435,-0.219402,0.346422,1.83433,0.786768,-0.110361,0.325046,-0.0,0.048706,0.0293882,0.0652939,0.2895,0.314951,0.346422,-3.62805,0.148103,0.159257,0.693433,0.00353982,-0.0973894,0.0729867,-0.0,-0.221824,0.702474
,,,,,,,,,,,,,,,,0.375261,0.0482794,0.810731,0.355302,0.269911,0.092072,1.72458,0.0786326,-0.0250542,0.0629209,-0.0875364,0.0257918,0.0635922,0.0755605,0.166279,0.00422907,-0.109867,-0.217905,0.349987,1.87091,0.794903,-0.112591,0.322873,-0.0,0.013916,0.0300209,0.0648585,0.296629,0.318191,0.349987,-3.60125,0.151268,0.162717,0.702831,0.00356195,-0.114145,0.075708,0.00067128,-0.224011,0.771273
,,,,,,,,,,,,,,,,0.383251,0.0411725,0.805141,0.352847,0.280236,0.0934387,1.69845,0.0797649,-0.0264208,0.0635673,-0.0884208,0.0264209,0.0642386,0.0760373,0.169796,0.00423914,-0.100519,-0.216367,0.352053,1.88136,0.802982,-0.114842,0.320641,0.00147493,0.073059,0.0306601,0.0644112,0.303486,0.321408,0.353528,-3.64145,0.154466,0.166235,0.709543,0.00356195,-0.125664,0.0784292,0.00067128,-0.226182,0.65178
,,,,,,,,,,,,,,,,0.391321,0.0458424,0.799404,0.350327,0.278761,0.0920636,1.75594,0.0796285,-0.0279131,0.0648804,-0.0892012,0.0270665,0.0648804,0.0761036,0.173349,0.00423914,-0.0922026,-0.21479,0.357044,1.90749,0.811005,-0.117114,0.318351,-0.0,0.059143,0.0313057,0.0639523,0.311692,0.324603,0.357044,-3.685,0.157697,0.169787,0.718941,0.00356195,-0.136136,0.0815929,-0.0,-0.228338,0.539529
,,,,,,,,,,,,,,,,0.399471,0.0386898,0.793523,0.347744,0.289086,0.091973,1.79252,0.0805689,-0.0293739,0.0655176,-0.0900344,0.0277185,0.0655176,0.0764231,0.176937,0.00423914,-0.092248,-0.213174,0.360534,1.90749,0.81897,-0.119408,0.316004,-0.0,0.041748,0.0319577,0.0634819,0.318902,0.327775,0.360534,-3.6046,0.160958,0.173375,0.726997,0.00356195,-0.13823,0.0845354,-0.0,-0.230478,0.713337
,,,,,,,,,,,,,,,,0.4077,0.0344632,0.7875,0.345099,0.29646,0.089809,1.77161,0.081508,-0.0308347,0.06615,-0.090889,0.0283668,0.06615,0.0766192,0.18056,0.00424921,-0.0901827,-0.211519,0.363998,1.94407,0.826875,-0.121724,0.313599,-0.0,0.055664,0.032616,0.063,0.326192,0.330923,0.363998,-3.5577,0.164252,0.176976,0.737066,0.00358407,-0.142419,0.0876327,-0.0,-0.232602,0.76041
,,,,,,,,,,,,,,,,0.416008,0.0287374,0.781336,0.342392,0.30531,0.0875841,1.73503,0.0821635,-0.0325626,0.0661063,-0.0914977,0.0290314,0.0667775,0.0772229,0.184217,0.00424921,-0.0828647,-0.209827,0.365961,1.9493,0.834719,-0.12406,0.311139,0.00147493,0.048706,0.0332806,0.0625069,0.333845,0.334047,0.367436,-3.50075,0.167577,0.180633,0.747135,0.00358407,-0.151844,0.090354,0.00067128,-0.234708,0.608328
