proportionalf_1.txt,proportionalf_2.txt,proportionalf_3.txt,wrench_fy.txt,integralf_4.txt,wrench_my.txt,integralf_5.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,integralf_3.txt,proportionalf_5.txt,wrench_fz.txt,wrench_fx.txt,proportionalf_4.txt,wrench_mx.txt,accd3.txt,trq2.txt,vela5.txt,trq4.txt,trq3.txt,accd2.txt,posd5.txt,vela1.txt,trq5.txt,vela2.txt,posa4.txt,vela4.txt,veld4.txt,error_vel_4.txt,posa1.txt,posd2.txt,veld5.txt,error_vel_5.txt,posa2.txt,accd4.txt,vela3.txt,error_pos_4.txt,veld3.txt,trq1.txt,veld2.txt,posd4.txt,accd5.txt,error_pos_2.txt,error_pos_3.txt,error_pos_5.txt,posd3.txt,posa3.txt,error_vel_1.txt,accd1.txt,error_vel_2.txt,veld1.txt,error_pos_1.txt,posa5.txt,posd1.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.410397,0.62712,-0.0,0.050694,-1.69845,0.240469,0.000973079,-0.0,-0.549682,0.00067128,0.00349557,-0.0,0.0338437,0.0338437,-0.0,0.00173719,0.0110594,0.0110594,0.000241661,0.320625,0.00418879,-0.00117932,-0.0433197,-0.0,0.0253828,0.00231625,0.0907966,0.00149553,0.00972725,0.000641221,-0.00298049,-0.0127077,0.00846094,0.0801562,0.0247115,0.00846094,0.000579062,0.000331858,0.000579062,-0.0475085
,,,,,,,,,,,,,,,,-0.427396,0.65325,0.00147493,0.054315,-1.71185,0.250429,0.00108828,-0.0,-0.539245,0.00201384,0.00349557,-0.0,0.0371166,0.0371166,-0.0,0.00200321,0.0119862,0.0105113,0.000271869,0.333905,0.0010472,-0.000824634,-0.047509,-0.0,0.0278375,0.00267094,0.0945567,0.00173134,0.00927325,0.000734294,-0.00343449,-0.0127077,0.00927915,0.0834762,0.0258236,0.00927915,0.000667735,0.000353982,0.000667735,-0.0485562
,,,,,,,,,,,,,,,,-0.444072,0.70551,0.00147493,0.061557,-1.7152,0.2602,0.00121293,-0.0,-0.518371,0.00268512,0.0035177,-0.0,0.040521,0.040521,-0.0,0.00229427,0.0129503,0.0114754,0.000292007,0.346933,0.0,-0.000458678,-0.0518666,-0.0,0.0303908,0.00305902,0.0982454,0.00200226,0.00877651,0.000858946,-0.00393123,-0.0127077,0.0101303,0.0867333,0.0277056,0.0101303,0.000764755,0.000353982,0.000764755,-0.0518666
,,,,,,,,,,,,,,,,-0.460427,0.726414,-0.0,0.054315,-1.7286,0.269783,0.0013474,-0.0,-0.514892,0.00201384,0.0035177,0.00147493,0.0440544,0.0425795,-0.0,0.00261134,0.0139509,0.0139509,0.000332284,0.359711,0.0,-3.59074e-05,-0.0563893,-0.0,0.0330408,0.00348179,0.101863,0.00227906,0.00823537,0.000971298,-0.00447237,-0.0127077,0.0110136,0.0899278,0.031027,0.0110136,0.000870448,0.000376106,0.000870448,-0.0563893
,,,,,,,,,,,,,,,,-0.476464,0.752544,0.00147493,0.043452,-1.75875,0.27918,0.00149207,-0.0,-0.507934,0.00402768,0.0035177,-0.0,0.0477144,0.0477144,-0.0,0.0029554,0.0149873,0.0135124,0.00038263,0.37224,0.0,0.000422832,-0.0610741,-0.0,0.0357858,0.00394053,0.10541,0.00257277,0.00764819,0.00109384,-0.00505956,-0.0127077,0.0119286,0.09306,0.0317581,0.0119286,0.000985133,0.00039823,0.000985133,-0.0610741
,,,,,,,,,,,,,,,,-0.492184,0.7839,0.00147493,0.039831,-1.7755,0.288391,0.00164727,-0.0,-0.490539,0.00604152,0.00353982,-0.0,0.0514984,0.0514984,-0.0,0.00332737,0.0160589,0.014584,0.000473253,0.384521,0.0,0.00089667,-0.0659176,-0.0,0.0386238,0.00443649,0.108888,0.00285412,0.00701336,0.00124904,-0.00569438,-0.0127077,0.0128746,0.0961304,0.0325823,0.0128746,0.00110912,0.00039823,0.00110912,-0.0659176
,,,,,,,,,,,,,,,,-0.50759,0.778674,-0.0,0.03621,-1.80565,0.297418,0.00181336,-0.0,-0.48706,0.00872665,0.00358407,0.00442478,0.055404,0.0509792,-0.0,0.00372818,0.0171649,0.0171649,0.00063436,0.396557,0.0,0.00138683,-0.0709167,-0.0,0.041553,0.0049709,0.112295,0.00309382,0.00632932,0.001393,-0.00637843,-0.0127077,0.013851,0.0991392,0.0328264,0.013851,0.00124273,0.000420354,0.00124273,-0.0709167
,,,,,,,,,,,,,,,,-0.522682,0.73164,0.00147493,0.03621,-1.83245,0.306261,0.00199068,-0.0,-0.473144,0.016782,0.00362832,0.00147493,0.0594287,0.0579538,-0.0,0.00415873,0.0183046,0.0168296,0.000936436,0.408348,0.0,0.00191665,-0.0760683,-0.0,0.0445716,0.00554497,0.115633,0.00322229,0.00559452,0.0015482,-0.00711323,-0.0127077,0.0148572,0.102087,0.0277895,0.0148572,0.00138624,0.000442478,0.00138624,-0.0760683
,,,,,,,,,,,,,,,,-0.537462,0.689832,0.00147493,0.03621,-1.8492,0.314921,0.00217956,-0.0,-0.466186,0.0288651,0.00367257,0.00442478,0.0635702,0.0591454,-0.0,0.0046199,0.0194773,0.0180024,0.00121837,0.419895,0.0,0.0024873,-0.0813693,-0.0,0.0476776,0.00615987,0.118902,0.00340153,0.00480745,0.00173708,-0.00790029,-0.0127077,0.0158925,0.104974,0.0188126,0.0158925,0.00153997,0.000442478,0.00153997,-0.0813693
,,,,,,,,,,,,,,,,-0.551933,0.658476,-0.0,0.03621,-1.8894,0.3234,0.00238033,-0.0,-0.455749,0.0281938,0.00373894,0.0058997,0.0678258,0.0619261,-0.0,0.00511257,0.0206824,0.0206824,0.00152045,0.431201,0.0,0.00307782,-0.0868165,-0.0,0.0508694,0.00681675,0.122103,0.00359212,0.00398235,0.00191573,-0.0087411,-0.0127235,0.0169565,0.1078,0.0226756,0.0169565,0.00170419,0.000464602,0.00170419,-0.0868165
,,,,,,,,,,,,,,,,-0.566097,0.569634,0.00147493,0.039831,-1.89945,0.331699,0.00259331,-0.0,-0.445312,0.0302076,0.00378319,0.00442478,0.0721934,0.0677686,-0.0,0.00563757,0.0219191,0.0204442,0.0018326,0.442266,-0.0010472,0.00373357,-0.0924069,-0.0,0.054145,0.00751676,0.125235,0.00380497,0.00308635,0.00210659,-0.0096371,-0.0127235,0.0180483,0.110566,0.0239374,0.0180483,0.00187919,0.000486726,0.00187919,-0.0913597
,,,,,,,,,,,,,,,,-0.579954,0.700284,0.00147493,0.043452,-1.93295,0.339819,0.00281882,-0.0,-0.427917,0.0302076,0.00382743,0.00442478,0.0766703,0.0722456,-0.0,0.00619574,0.0231868,0.0217119,0.00202391,0.453092,0.0,0.00443355,-0.0981374,-0.0,0.0575028,0.00826099,0.1283,0.00417183,0.00213374,0.00233209,-0.0105897,-0.0127235,0.0191676,0.113273,0.0272951,0.0191676,0.00206525,0.000486726,0.00206525,-0.0981374
,,,,,,,,,,,,,,,,-0.593507,0.81003,-0.0,0.047073,-1.95975,0.34776,0.00305715,-0.0,-0.420959,0.0187959,0.00387168,0.00442478,0.0812544,0.0768296,-0.0,0.00678789,0.0244849,0.0244849,0.00218502,0.46368,0.0,0.00517884,-0.104005,-0.0,0.0609408,0.00905052,0.131297,0.00460287,0.00112315,0.0025483,-0.0116003,-0.0127235,0.0203136,0.11592,0.0421449,0.0203136,0.00226263,0.00050885,0.00226263,-0.104005
,,,,,,,,,,,,,,,,-0.606757,0.778674,0.00147493,0.061557,-2.0033,0.355524,0.00330861,-0.0,-0.41748,0.016782,0.00391593,0.00442478,0.0859432,0.0815184,1.00692e-05,0.00741482,0.0258126,0.0243376,0.00243675,0.474032,0.0,0.00597049,-0.110007,-0.0,0.0644574,0.00988642,0.134227,0.00497807,5.31983e-05,0.00279976,-0.0126703,-0.0127235,0.0214858,0.118508,0.0476754,0.0214858,0.00246154,0.00050885,0.00247161,-0.110007
,,,,,,,,,,,,,,,,-0.619707,0.689832,-0.0,0.076041,-2.0167,0.363112,0.0035735,0.00067128,-0.410522,0.0268512,0.00396018,0.00442478,0.0907343,0.0863095,1.00692e-05,0.00807729,0.0271692,0.0271692,0.00279924,0.484149,0.0,0.00680955,-0.116139,0.005226,0.0680507,0.0107697,0.137091,0.00527805,-0.00107742,0.00304252,-0.0138009,-0.0127235,0.0220123,0.121037,0.0411995,0.0226836,0.00268236,0.000530973,0.00269243,-0.116139
