wrench_fz.txt,integralf_3.txt,wrench_my.txt,integralf_2.txt,wrench_mx.txt,integralf_4.txt,proportionalf_2.txt,wrench_fx.txt,proportionalf_1.txt,proportionalf_5.txt,integralf_1.txt,wrench_fy.txt,proportionalf_3.txt,integralf_5.txt,wrench_mz.txt,proportionalf_4.txt,accd3.txt,vela1.txt,accd5.txt,posd5.txt,posa3.txt,posd2.txt,vela2.txt,trq2.txt,error_vel_5.txt,trq5.txt,veld5.txt,posa5.txt,error_vel_3.txt,trq3.txt,posd4.txt,error_pos_2.txt,posd1.txt,trq1.txt,veld2.txt,posa1.txt,posa4.txt,error_pos_5.txt,veld1.txt,accd1.txt,vela4.txt,veld4.txt,error_pos_4.txt,error_vel_2.txt,error_pos_3.txt,vela3.txt,vela5.txt,posd3.txt,error_pos_1.txt,trq4.txt,posa2.txt,error_vel_1.txt,accd4.txt,error_vel_4.txt,accd2.txt,veld3.txt
,,,,,,,,,,,,,,,,-0.318248,0.171848,0.0271501,0.0273319,-0.223524,0.370392,0.702831,3.61117,0.0437629,0.027832,0.0437629,0.00371681,0.0543257,-3.6113,0.198735,0.136968,0.123464,0.867516,0.593541,0.0856285,0.110111,0.023615,0.197847,0.122743,0.300885,0.316415,0.0886246,-0.109289,-0.0983291,-0.568628,-0.0,-0.321853,0.0378355,0.825588,0.233424,0.0259993,0.195145,0.0155298,0.368228,-0.514303
,,,,,,,,,,,,,,,,-0.31362,0.173862,0.0267558,0.0277708,-0.229336,0.376346,0.710886,3.48574,0.0440325,-0.006958,0.0440325,0.00371681,0.0553551,-3.68165,0.201909,0.135934,0.125449,0.909324,0.597197,0.0873806,0.113075,0.024054,0.199066,0.12096,0.297935,0.318352,0.0888339,-0.113689,-0.097676,-0.572817,-0.0,-0.327012,0.0380681,0.637296,0.240412,0.025204,0.192302,0.0204169,0.36288,-0.517462
,,,,,,,,,,,,,,,,-0.30894,0.177889,0.0263572,0.0282125,-0.234975,0.382336,0.721627,3.47006,0.044298,0.031311,0.044298,0.00371681,0.0553838,-3.66825,0.205102,0.134523,0.127445,0.91455,0.600799,0.0891628,0.116217,0.0244957,0.200266,0.119158,0.311209,0.320261,0.0888853,-0.120828,-0.0972271,-0.575959,-0.0,-0.332202,0.0382825,0.662643,0.247813,0.0223769,0.189428,0.00905128,0.357473,-0.520575
,,,,,,,,,,,,,,,,-0.304211,0.175204,0.0259542,0.0286568,-0.240866,0.388362,0.731024,3.25057,0.0445596,0.017395,0.0445596,0.00371681,0.0512708,-3.7118,0.208314,0.133419,0.129454,0.841386,0.604346,0.090935,0.119358,0.02494,0.201449,0.117336,0.323009,0.32214,0.0889558,-0.126678,-0.0965577,-0.574911,-0.0,-0.337424,0.0385189,0.774894,0.254942,0.0262445,0.186522,-0.000868356,0.352008,-0.523641
,,,,,,,,,,,,,,,,-0.299432,0.179232,0.0255471,0.0291037,-0.246395,0.394423,0.739751,3.32896,0.0448171,-0.020874,0.0448171,0.00371681,0.0419694,-3.72855,0.211545,0.131999,0.131474,0.96681,0.607839,0.0927273,0.122611,0.0253869,0.202613,0.115495,0.323009,0.323991,0.0889343,-0.131913,-0.09628,-0.568628,-0.0,-0.342675,0.0387469,0.684369,0.262424,0.023381,0.183587,0.000982216,0.346486,-0.526659
,,,,,,,,,,,,,,,,-0.294605,0.179232,0.0251359,0.0295531,-0.252317,0.400518,0.749149,3.2558,0.0435956,0.024353,0.0450705,0.00373894,0.0421408,-3.7118,0.214794,0.130553,0.133506,0.91455,0.611276,0.0945096,0.125774,0.0258142,0.203759,0.113636,0.324484,0.325812,0.0890196,-0.137873,-0.0956396,-0.57177,0.00147493,-0.347957,0.0389965,0.590223,0.269966,0.0245266,0.180622,0.00132836,0.340909,-0.529629
,,,,,,,,,,,,,,,,-0.28973,0.179903,0.0247206,0.0300051,-0.257862,0.406648,0.755862,3.30283,0.0453198,0.03479,0.0453198,0.00373894,0.0392191,-3.74865,0.218061,0.12908,0.135549,0.88842,0.614657,0.0962616,0.129093,0.0262661,0.204886,0.111759,0.324484,0.327603,0.0889681,-0.141205,-0.0954056,-0.57177,-0.0,-0.353268,0.0392877,0.745926,0.277568,0.0249824,0.177628,0.00311963,0.335276,-0.532551
,,,,,,,,,,,,,,,,-0.284809,0.181917,0.0243013,0.0304595,-0.263438,0.412811,0.767945,3.12515,0.0455649,-0.013916,0.0455649,0.00373894,0.0394879,-3.72855,0.221346,0.127782,0.137604,0.982488,0.617981,0.0980942,0.132434,0.0267206,0.205994,0.109863,0.331858,0.329365,0.0889123,-0.149964,-0.0951692,-0.574911,-0.0,-0.358607,0.0395095,0.789378,0.285029,0.0240766,0.174605,-0.00249382,0.32959,-0.535424
,,,,,,,,,,,,,,,,-0.279843,0.181917,0.0238781,0.0309163,-0.26914,0.419007,0.773315,3.10947,0.0458058,0.024353,0.0458058,0.00373894,0.0429478,-3.70845,0.224648,0.126205,0.139669,0.91455,0.621248,0.0998261,0.135686,0.0271774,0.207083,0.10795,0.331858,0.331095,0.0889624,-0.152067,-0.0948356,-0.581195,-0.0,-0.363976,0.039843,0.57936,0.292802,0.0251657,0.171554,-0.000762998,0.323851,-0.538247
,,,,,,,,,,,,,,,,-0.274831,0.183931,0.0234512,0.0313756,-0.275408,0.425236,0.778014,3.01018,0.0460425,-0.027832,0.0460425,0.00373894,0.0370328,-3.7319,0.227968,0.124177,0.141745,0.945906,0.624458,0.1019,0.139469,0.0276367,0.208153,0.10602,0.345133,0.332796,0.0884987,-0.153556,-0.0939645,-0.578053,-0.0,-0.369372,0.039845,0.691611,0.301059,0.0242217,0.168476,-0.0123372,0.31806,-0.54102
,,,,,,,,,,,,,,,,-0.269776,0.187287,0.0230205,0.0318372,-0.281377,0.431496,0.786069,3.13037,0.0462748,0.020874,0.0462748,0.00373894,0.0353569,-3.76205,0.231304,0.122513,0.143832,0.982488,0.627609,0.103693,0.142898,0.0280982,0.209203,0.104073,0.345133,0.334465,0.0884058,-0.15846,-0.0934194,-0.5791,-0.0,-0.374796,0.0401394,0.774894,0.308984,0.0219158,0.165371,-0.0106679,0.312219,-0.543743
,,,,,,,,,,,,,,,,-0.264678,0.187287,0.0225861,0.0323011,-0.286969,0.437788,0.790097,2.98405,0.0465029,-0.010437,0.0465029,0.00373894,0.0316374,-3.7587,0.234657,0.120809,0.145929,0.909324,0.630702,0.105566,0.146416,0.0285621,0.210234,0.102109,0.346608,0.336103,0.088241,-0.159395,-0.0932782,-0.578053,-0.0,-0.380247,0.0403638,0.575739,0.316979,0.0229467,0.162239,-0.0105048,0.306328,-0.546416
,,,,,,,,,,,,,,,,-0.259538,0.189301,0.0221482,0.0327672,-0.292734,0.44411,0.796139,2.92133,0.0467265,-0.0,0.0467265,0.00373894,0.0258747,-3.7922,0.238026,0.119439,0.148037,0.987714,0.633736,0.107428,0.149867,0.0290283,0.211245,0.100129,0.359882,0.33771,0.0881587,-0.162403,-0.0929906,-0.574911,-0.0,-0.385724,0.0406084,0.590223,0.324672,0.0219441,0.159082,-0.0221725,0.300388,-0.549037
,,,,,,,,,,,,,,,,-0.254357,0.191315,0.0217068,0.0332356,-0.298294,0.450463,0.808222,2.88998,0.0454709,-0.003479,0.0469458,0.00376106,0.0212108,-3.8726,0.241411,0.117585,0.150154,0.951132,0.63671,0.109321,0.153695,0.0294745,0.212237,0.0981337,0.376106,0.339284,0.0877163,-0.171512,-0.0929333,-0.572817,0.00147493,-0.391228,0.0408328,0.702474,0.332878,0.0209216,0.1559,-0.0368217,0.294401,-0.551606
,,,,,,,,,,,,,,,,-0.249136,0.189301,0.0212619,0.0337061,-0.304075,0.456844,0.812249,2.68616,0.0471607,0.031311,0.0471607,0.00376106,0.0176461,-3.88265,0.244812,0.116213,0.152281,0.919776,0.639623,0.111224,0.157456,0.0299451,0.213208,0.0961226,0.373156,0.340827,0.0873558,-0.172626,-0.0926814,-0.57177,-0.0,-0.396756,0.041057,0.50694,0.340631,0.0239067,0.152693,-0.0323289,0.288368,-0.554124
,,,,,,,,,,,,,,,,-0.243875,0.191986,0.0208137,0.0341788,-0.309824,0.463255,0.81762,2.86907,0.047371,0.017395,0.047371,0.00376106,0.0120394,-3.82235,0.248227,0.114367,0.154418,1.07133,0.642477,0.113168,0.161173,0.0304177,0.214159,0.0940964,0.377581,0.342338,0.0870548,-0.175143,-0.0924859,-0.568628,-0.0,-0.40231,0.0412505,0.597465,0.348888,0.0221727,0.149462,-0.0352429,0.282289,-0.556589
,,,,,,,,,,,,,,,,-0.238576,0.193329,0.0203623,0.0346535,-0.3154,0.469694,0.821647,2.80636,0.0475769,0.003479,0.0475769,0.00376106,0.0169575,-3.8458,0.251658,0.112549,0.156565,0.961584,0.645269,0.115081,0.164823,0.0308925,0.21509,0.0920554,0.377581,0.343817,0.0868352,-0.176378,-0.0924876,-0.575959,-0.0,-0.407888,0.0414836,0.702474,0.357145,0.0217609,0.146208,-0.0337645,0.276166,-0.559001
,,,,,,,,,,,,,,,,-0.23324,0.191315,0.0199076,0.0351303,-0.321275,0.47616,0.823661,2.66003,0.0477783,0.003479,0.0477783,0.00376106,0.0104096,-3.86255,0.255104,0.110728,0.15872,0.987714,0.648,0.117004,0.16865,0.0313693,0.216,0.09,0.371681,0.345262,0.0864532,-0.175661,-0.0922147,-0.57177,-0.0,-0.41349,0.0417158,0.50694,0.365432,0.0246851,0.14293,-0.0264191,0.27,-0.56136
