posa4.txt,posd5.txt,vela5.txt,posd2.txt,trq5.txt,trq1.txt,trq4.txt,vela4.txt,vela3.txt,posa1.txt,posd4.txt,trq2.txt,trq3.txt,vela1.txt,posd1.txt,posa3.txt,posa2.txt,vela2.txt,posd3.txt,posa5.txt
0.00960177,0.00270302,0.00147493,0.0242401,-0.41748,2.50325,0.336753,0.120944,-0.0010472,0.0299559,0.0436321,2.02769,-2.2646,0.371218,0.0727202,-0.0130219,0.00453114,0.0449758,-0.0194074,0.000486726
0.010885,0.00296534,-0.0,0.0266119,-0.410522,2.62345,0.336753,0.132743,0.0,0.0341346,0.0479014,2.4719,-2.30815,0.400754,0.0798356,-0.0130219,0.00469225,0.0228235,-0.0213048,0.000486726
0.0121239,0.00324246,0.00147493,0.0291175,-0.400085,2.78023,0.307785,0.125369,-0.0010472,0.0387362,0.0524116,2.73842,-2.36175,0.42962,0.0873526,-0.0130376,0.00476274,0.0100692,-0.0233093,0.00050885
0.0134071,0.00353457,-0.0,0.0317587,-0.389648,2.80114,0.286059,0.125369,0.0,0.0433681,0.0571657,2.84294,-2.4455,0.469896,0.0952762,-0.0130533,0.00478287,0.00469896,-0.0254222,0.000530973
0.014646,0.00384185,0.00147493,0.034537,-0.386169,2.83249,0.329511,0.128319,-0.00418879,0.0486041,0.0621667,2.96314,-2.479,0.50346,0.103611,-0.0131161,0.00478287,-0.0,-0.0276448,0.000530973
0.0158186,0.00416443,-0.0,0.0374538,-0.379211,2.83249,0.568497,0.119469,-0.00733038,0.0539508,0.0674168,3.05721,-2.57615,0.535682,0.112361,-0.0132261,0.00479294,-0.0,-0.0299781,0.000530973
0.0171239,0.00450246,0.00147493,0.0405102,-0.372253,2.91611,0.698853,0.120944,-0.015708,0.0600225,0.0729183,3.14605,-2.60295,0.572602,0.121531,-0.0133989,0.00479294,0.00067128,-0.0324232,0.000553097
0.0186504,0.00485606,-0.0,0.0437073,-0.358337,2.93179,0.767652,0.143068,-0.0251327,0.0660137,0.0786732,3.22444,-2.5527,0.610194,0.131122,-0.0137445,0.00482315,0.00201384,-0.0349809,0.000553097
0.020354,0.00522533,0.00147493,0.0470462,-0.3479,3.07289,0.807483,0.160767,-0.0450295,0.0727299,0.0846831,3.2767,-2.4656,0.646443,0.141139,-0.0142314,0.00488357,0.00402768,-0.0376519,0.000575221
0.022323,0.00561036,-0.0,0.0505275,-0.3479,3.23489,0.7242,0.187316,-0.0502655,0.0798992,0.0909495,3.29761,-2.57615,0.679336,0.151583,-0.0147341,0.00498426,0.00805537,-0.0404369,0.000575221
