wrench_my.txt,proportionalf_3.txt,wrench_fz.txt,wrench_mx.txt,integralf_3.txt,integralf_4.txt,proportionalf_1.txt,wrench_fy.txt,proportionalf_5.txt,proportionalf_4.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,wrench_fx.txt,proportionalf_2.txt,integralf_5.txt,posd1.txt,error_pos_3.txt,error_vel_2.txt,veld4.txt,posa4.txt,veld2.txt,accd5.txt,veld1.txt,posa1.txt,posd4.txt,veld5.txt,posa3.txt,error_pos_1.txt,posa2.txt,error_vel_1.txt,error_vel_4.txt,error_pos_2.txt,veld3.txt,trq1.txt,trq2.txt,vela1.txt,posa5.txt,error_pos_4.txt,posd5.txt,accd3.txt,error_pos_5.txt,accd4.txt,error_vel_5.txt,vela5.txt,vela4.txt,posd3.txt,accd2.txt,vela2.txt,posd2.txt,error_vel_3.txt,vela3.txt,accd1.txt,trq4.txt,trq5.txt,trq3.txt
,,,,,,,,,,,,,,,,2.46912,-0.0822193,0.0721044,0.692368,1.56338,0.692368,-0.172211,1.02216,2.401,1.63999,0.197325,-2.01697,0.0681177,1.56936,-0.0854543,0.0492998,0.0706315,-0.88623,1.46851,4.64069,1.10761,4.42478e-05,0.0766031,0.467397,0.773437,0.467352,-0.604248,0.197325,-0.0,0.643068,-2.09918,-0.604248,0.620263,1.63999,-0.00344293,-0.882788,-0.896249,0.564876,0.017395,-5.44375
,,,,,,,,,,,,,,,,2.4793,-0.0832673,0.0834883,0.686298,1.56956,0.686298,-0.17374,1.01316,2.41117,1.64688,0.195595,-2.02474,0.0681245,1.57529,-0.0810304,0.0432304,0.0715941,-0.878462,1.52077,3.26102,1.09419,4.42478e-05,0.0773239,0.469361,0.780307,0.469317,-0.609615,0.195595,-0.0,0.643068,-2.10801,-0.609615,0.60281,1.64688,-0.032326,-0.846136,-0.90406,0.590223,0.03479,-5.5409
,,,,,,,,,,,,,,,,2.48938,-0.0829336,0.0693104,0.680176,1.57606,0.680176,-0.175239,1.00408,2.42276,1.65371,0.19385,-2.03382,0.0666211,1.58182,-0.0800402,0.0548069,0.0718916,-0.870625,1.63051,1.54167,1.08412,4.42478e-05,0.0776519,0.471308,0.78704,0.471264,-0.614875,0.19385,-0.0,0.625369,-2.11675,-0.614875,0.610865,1.65371,-0.0318195,-0.838805,-0.911714,0.467109,0.003479,-5.47725
,,,,,,,,,,,,,,,,2.49938,-0.0830239,0.0409835,0.674001,1.58161,0.674001,-0.176708,0.994923,2.43264,1.66048,0.19209,-2.0424,0.0667382,1.58804,-0.0750981,0.0855055,0.0724398,-0.862721,1.61483,0.893646,1.07002,4.42478e-05,0.0788697,0.473238,0.793634,0.473194,-0.620027,0.19209,-0.0,0.588496,-2.12542,-0.620027,0.633017,1.66048,0.00540548,-0.868127,-0.919209,0.474351,0.031311,-5.2327
,,,,,,,,,,,,,,,,2.50928,-0.0823593,0.00857801,0.667775,1.58761,0.667775,-0.178145,0.985694,2.44408,1.66719,0.190316,-2.05165,0.0652028,1.59489,-0.0722439,0.104354,0.0723016,-0.854753,1.69322,0.877968,1.05794,4.42478e-05,0.0795831,0.47515,0.800088,0.475106,-0.625069,0.190316,-0.0,0.563422,-2.13401,-0.625069,0.659197,1.66719,0.0406013,-0.895354,-0.926543,0.246228,0.010437,-4.958
,,,,,,,,,,,,,,,,2.51909,-0.0817247,-0.0238774,0.6615,1.59257,0.6615,-0.17955,0.976393,2.45388,1.67384,0.188528,-2.06079,0.0652159,1.60158,-0.0755038,0.111353,0.0722621,-0.84672,1.73503,1.22288,1.0519,4.42478e-05,0.0812738,0.477044,0.8064,0.477,-0.63,0.188528,-0.0,0.550147,-2.14252,-0.63,0.685377,1.67384,0.0842386,-0.930959,-0.933713,0.322269,0.024353,-4.76035
,,,,,,,,,,,,,,,,2.52881,-0.0801769,-0.0516825,0.655176,1.59832,0.655176,-0.180923,0.96702,2.46526,1.68042,0.186725,-2.07077,0.0635448,1.60909,-0.0882325,0.115353,0.0713339,-0.838625,1.53122,2.52938,1.05525,4.42478e-05,0.082105,0.478921,0.812568,0.478876,-0.634819,0.186725,-0.0,0.539823,-2.15094,-0.634819,0.706858,1.68042,0.089192,-0.927817,-0.940717,0.166566,-0.006958,-4.69
,,,,,,,,,,,,,,,,2.53843,-0.0802286,-0.0540267,0.648804,1.60385,0.648804,-0.182264,0.957579,2.47503,1.68694,0.184909,-2.07906,0.0634007,1.61576,-0.0943176,0.0942318,0.071188,-0.830469,1.20721,4.52572,1.0519,4.42478e-05,0.0830939,0.480779,0.81859,0.480735,-0.639523,0.184909,-0.0,0.554572,-2.15929,-0.639523,0.702831,1.68694,0.0931591,-0.923628,-0.947554,0.391068,-0.0,-4.7704
,,,,,,,,,,,,,,,,2.54796,-0.079256,-0.0268809,0.642386,1.61011,0.642386,-0.183572,0.94807,2.48615,1.6934,0.18308,-2.0883,0.0618126,1.62255,-0.0930861,0.0656896,0.0708473,-0.822254,1.0452,6.84606,1.04116,4.42478e-05,0.0832889,0.482619,0.824464,0.482575,-0.644112,0.18308,-0.0,0.576696,-2.16755,-0.644112,0.669267,1.6934,0.0552978,-0.877552,-0.954222,0.329511,0.048706,-4.96805
,,,,,,,,,,,,,,,,2.55739,-0.0796618,0.0458666,0.635922,1.61591,0.635922,-0.184847,0.938495,2.49581,1.69979,0.181238,-2.09607,0.061579,1.62783,-0.0805087,0.0371021,0.0719626,-0.81398,1.11314,7.88603,1.019,4.42478e-05,0.083884,0.48444,0.830189,0.484396,-0.648585,0.181238,-0.0,0.59882,-2.17573,-0.648585,0.590056,1.69979,0.0154001,-0.82938,-0.960718,0.626433,-0.003479,-5.2729
,,,,,,,,,,,,,,,,2.56673,-0.0804715,0.12394,0.629414,1.62184,0.629414,-0.186088,0.928856,2.50542,1.70612,0.179383,-2.10336,0.0613098,1.63238,-0.0700092,0.0143702,0.073738,-0.80565,1.36921,6.57431,0.998865,4.42478e-05,0.0842815,0.486244,0.835762,0.486199,-0.652939,0.179383,-0.0,0.615044,-2.18383,-0.652939,0.505474,1.70612,-0.0286299,-0.777021,-0.96704,0.586602,0.006958,-5.63805
,,,,,,,,,,,,,,,,2.57597,-0.0812761,0.163708,0.622864,1.62827,0.622864,-0.187295,0.919155,2.51575,1.71238,0.177516,-2.11057,0.0602189,1.63719,-0.0635998,0.00191986,0.0751864,-0.797266,1.70368,2.78023,0.982755,4.42478e-05,0.0841049,0.488028,0.841183,0.487984,-0.657174,0.177516,-0.0,0.620944,-2.19185,-0.657174,0.459156,1.71238,-0.0705105,-0.726755,-0.973187,0.83283,0.024353,-5.86585
,,,,,,,,,,,,,,,,2.58511,-0.0821852,0.12288,0.616271,1.63385,0.616271,-0.188467,0.909393,2.52464,1.71857,0.175637,-2.11759,0.0604706,1.64215,-0.0659776,0.0189263,0.076428,-0.788827,1.85,0.851838,0.975371,4.42478e-05,0.0847254,0.489794,0.846449,0.48975,-0.661288,0.175637,-0.0,0.597345,-2.19978,-0.661288,0.493391,1.71857,-0.087205,-0.701622,-0.979156,0.630054,0.045227,-5.78545
,,,,,,,,,,,,,,,,2.59416,-0.0817058,0.0632161,0.609638,1.6394,0.609638,-0.189605,0.899572,2.53492,1.7247,0.173747,-2.12592,0.0592348,1.64817,-0.0690854,0.0639157,0.0765362,-0.780337,1.83955,0.324012,0.968658,4.42478e-05,0.0853018,0.491541,0.851558,0.491496,-0.66528,0.173747,-0.0,0.545723,-2.20762,-0.66528,0.546422,1.7247,-0.0315909,-0.748746,-0.984945,0.604707,-0.0,-5.34325
,,,,,,,,,,,,,,,,2.6031,-0.0817853,0.0229798,0.602966,1.644,0.602966,-0.190707,0.889695,2.54412,1.73077,0.171845,-2.1336,0.058988,1.65388,-0.0695651,0.102966,0.0768901,-0.771797,1.73503,0.276978,0.95926,4.42478e-05,0.0867631,0.493269,0.856509,0.493224,-0.669148,0.171845,-0.0,0.5,-2.21538,-0.669148,0.579986,1.73077,0.032451,-0.804248,-0.990552,0.307785,0.027832,-4.93455
,,,,,,,,,,,,,,,,2.61195,-0.0801456,-0.0166232,0.596256,1.64896,0.596256,-0.191774,0.879762,2.55422,1.73676,0.169933,-2.14291,0.0577359,1.66058,-0.0774841,0.127229,0.0761801,-0.763208,1.5887,0.480792,0.957246,4.42478e-05,0.0878035,0.494978,0.8613,0.494933,-0.672891,0.169933,-0.0,0.469027,-2.22306,-0.672891,0.612879,1.73676,0.0913057,-0.854513,-0.995975,0.322269,0.045227,-4.5091
,,,,,,,,,,,,,,,,2.6207,-0.0792836,-0.0529067,0.589509,1.65323,0.589509,-0.192804,0.869776,2.56335,1.74269,0.16801,-2.15136,0.0573509,1.66689,-0.0874702,0.127857,0.0758056,-0.754571,1.24901,0.658476,0.957246,4.42478e-05,0.0894625,0.496667,0.865929,0.496623,-0.676507,0.16801,-0.0,0.461652,-2.23065,-0.676507,0.642415,1.74269,0.12298,-0.877552,-1.00121,0.112251,0.006958,-4.34495
,,,,,,,,,,,,,,,,2.62935,-0.0784293,-0.0905682,0.582726,1.65792,0.582726,-0.193799,0.859738,2.57251,1.74855,0.166077,-2.15972,0.0568355,1.67329,-0.0914662,0.112225,0.0752628,-0.745889,1.0243,1.66187,0.951204,4.42478e-05,0.0906334,0.498338,0.870394,0.498294,-0.679995,0.166077,-0.0,0.470501,-2.23815,-0.679995,0.673294,1.74855,0.124332,-0.870221,-1.00626,0.275196,0.048706,-4.4287
,,,,,,,,,,,,,,,,2.63789,-0.0774095,-0.119537,0.575909,1.66334,0.575909,-0.194756,0.849651,2.58244,1.75435,0.164134,-2.16815,0.0554542,1.68061,-0.0894702,0.0803341,0.0737357,-0.737164,0.925002,4.47346,0.939121,4.42478e-05,0.0910063,0.499989,0.874693,0.499945,-0.683354,0.164134,-0.0,0.495575,-2.24556,-0.683354,0.695447,1.75435,0.108972,-0.846136,-1.01112,0.275196,0.031311,-4.5493
,,,,,,,,,,,,,,,,2.64634,-0.077009,-0.0941656,0.56906,1.66814,0.56906,-0.195676,0.839517,2.59119,1.76007,0.162182,-2.17588,0.05515,1.68652,-0.0828229,0.0543103,0.07355,-0.728396,0.86229,7.42092,0.922339,4.42478e-05,0.0919302,0.50162,0.878825,0.501576,-0.686582,0.162182,-0.0,0.514749,-2.25289,-0.686582,0.663225,1.76007,0.0852763,-0.813672,-1.01579,0.3621,0.041748,-4.7302
,,,,,,,,,,,,,,,,2.65468,-0.0763321,-0.0016975,0.562178,1.67383,0.562178,-0.196558,0.829336,2.60061,1.76573,0.160221,-2.1838,0.0540695,1.69199,-0.0695085,0.0312047,0.0737386,-0.719588,1.02952,9.77262,0.898845,4.42478e-05,0.0919006,0.503232,0.882787,0.503188,-0.689678,0.160221,-0.0,0.530973,-2.26013,-0.689678,0.563876,1.76573,0.0511494,-0.770737,-1.02026,0.535908,0.031311,-5.10205
,,,,,,,,,,,,,,,,2.66293,-0.0770749,0.104166,0.555266,1.67949,0.555266,-0.197402,0.819112,2.60906,1.77132,0.158251,-2.19021,0.0538637,1.69586,-0.0569091,-0.01553,0.0754593,-0.710741,1.51031,9.49042,0.876021,4.42478e-05,0.0918241,0.504825,0.886579,0.504781,-0.69264,0.158251,-0.0,0.570796,-2.26728,-0.69264,0.4511,1.77132,-0.0133074,-0.697434,-1.02454,0.640917,-0.003479,-5.5744
,,,,,,,,,,,,,,,,2.67107,-0.0780276,0.183149,0.548326,1.68575,0.548326,-0.198208,0.808846,2.61785,1.77683,0.156273,-2.19632,0.0532131,1.69968,-0.0597909,-0.0283704,0.077151,-0.701857,1.90226,5.27303,0.868637,4.42478e-05,0.0910811,0.506397,0.890198,0.506353,-0.695467,0.156273,-0.0,0.576696,-2.27435,-0.695467,0.365177,1.77683,-0.092388,-0.609469,-1.02861,0.836451,0.031311,-6.08025
