proportionalf_5.txt,wrench_my.txt,proportionalf_4.txt,wrench_fy.txt,wrench_fx.txt,integralf_1.txt,integralf_3.txt,proportionalf_1.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_3.txt,wrench_mx.txt,integralf_5.txt,integralf_2.txt,wrench_fz.txt,integralf_4.txt,posa3.txt,posa2.txt,trq2.txt,accd2.txt,veld4.txt,accd5.txt,veld3.txt,error_pos_3.txt,error_vel_2.txt,posd4.txt,posd1.txt,trq1.txt,vela2.txt,error_vel_1.txt,accd1.txt,trq5.txt,error_vel_5.txt,error_pos_4.txt,error_vel_3.txt,posa5.txt,posa4.txt,posd3.txt,vela4.txt,trq4.txt,posd2.txt,vela5.txt,posd5.txt,vela1.txt,vela3.txt,veld2.txt,veld5.txt,trq3.txt,accd4.txt,error_pos_5.txt,error_pos_1.txt,veld1.txt,error_pos_2.txt,error_vel_4.txt,accd3.txt,posa1.txt
,,,,,,,,,,,,,,,,-0.0134931,0.000231592,0.585312,0.884531,0.14573,0.0962157,-0.185769,0.00370375,0.0701795,0.0077533,0.0112751,1.22288,0.00201384,0.173618,2.65359,-0.841918,0.00785431,0.00531967,-0.112465,0.000221239,0.00243363,-0.00978939,0.0678466,0.14484,0.00375838,0.00147493,0.00065229,0.042962,-0.0733038,0.0721934,0.00932923,-1.7889,1.76743,0.000431051,0.010097,0.21658,0.00352679,0.0778833,-2.26324,0.0011781
,,,,,,,,,,,,,,,,-0.0139487,0.000261799,0.648024,0.92736,0.163835,0.100871,-0.208953,0.00218658,0.0785693,0.00930041,0.0135758,1.27514,0.00268512,0.187376,2.78208,-0.824523,0.0103148,0.00631368,-0.163924,0.000243363,0.00298673,-0.0117621,0.0619469,0.152082,0.00452526,-0.0,0.000750472,0.0563876,-0.0450295,0.0812544,0.0103148,-1.87935,1.85301,0.000507109,0.0117533,0.243763,0.00426346,0.101888,-2.37282,0.00182253
,,,,,,,,,,,,,,,,-0.0143414,0.000302076,0.742092,0.968299,0.182777,0.105319,-0.233209,0.000369345,0.0880491,0.0110328,0.0161546,1.39534,0.00268512,0.199033,2.9049,-0.807128,0.00987103,0.00758146,-0.189227,0.000243363,0.00345133,-0.013972,0.0486726,0.137598,0.00538486,0.00147493,0.000858739,0.0731696,-0.0439823,0.0907343,0.011346,-2.0301,1.9348,0.000615376,0.0135165,0.272203,0.00508279,0.134105,-2.47757,0.00263813
,,,,,,,,,,,,,,,,-0.0146712,0.000362491,0.820482,1.00737,0.202519,0.109565,-0.258489,-0.00175844,0.0959152,0.0129586,0.0190238,1.48941,0.00469896,0.213233,3.02211,-0.782775,0.0109456,0.00919756,-0.223931,0.000265487,0.00376106,-0.0164297,0.0368732,0.115872,0.00634128,0.00147493,0.000977536,0.088609,-0.0345575,0.100614,0.0124205,-2.25455,2.01287,0.000712049,0.0154593,0.301842,0.00597879,0.165646,-2.57754,0.0035645
,,,,,,,,,,,,,,,,-0.0149226,0.000463184,0.867516,1.0446,0.223023,0.113609,-0.284744,-0.00422248,0.10282,0.0150857,0.0221953,1.63574,0.00805537,0.223879,3.13379,-0.775817,0.0120617,0.0111477,-0.25647,0.000287611,0.00393805,-0.0191451,0.0235988,0.094146,0.00739842,0.00147493,0.00110729,0.108747,-0.0282743,0.110876,0.0135366,-2.3919,2.08725,0.000819677,0.0174527,0.332627,0.00693523,0.199424,-2.67279,0.0047426
,,,,,,,,,,,,,,,,-0.0152367,0.000654498,0.883194,1.08,0.244252,0.117455,-0.311929,-0.00689093,0.106732,0.0174215,0.02568,1.71935,0.0147682,0.231586,3.24,-0.754943,0.0146921,0.0134392,-0.283654,0.000287611,0.0039823,-0.0221277,0.0058997,0.086904,0.00856,-0.0,0.0012484,0.132914,-0.0282743,0.1215,0.0146921,-2.4187,2.15798,0.000960789,0.0194874,0.3645,0.0079055,0.238352,-2.76337,0.00619256
,,,,,,,,,,,,,,,,-0.0155509,0.000976713,0.86229,1.1136,0.26617,0.121104,-0.339996,-0.00983568,0.105618,0.019973,0.0294887,1.79774,0.0268512,0.241671,3.34081,-0.741027,0.0144101,0.0159907,-0.307533,0.000309734,0.0039823,-0.0253866,0.00147493,0.086904,0.00982957,0.00147493,0.00140125,0.155737,-0.0324631,0.13247,0.015885,-2.4723,2.22512,0.00109152,0.021675,0.397409,0.00885285,0.264695,-2.84935,0.0078137
,,,,,,,,,,,,,,,,-0.0157551,0.00132914,0.857064,1.14543,0.288742,0.12456,-0.368901,-0.0131753,0.10886,0.0227471,0.0336314,1.85,0.0349066,0.251395,3.43629,-0.734069,0.0156386,0.0187205,-0.343768,0.000331858,0.00402655,-0.0289304,0.00147493,0.090525,0.0112105,0.00147493,0.00156622,0.179903,-0.0251327,0.143766,0.0171135,-2.6934,2.28871,0.00123436,0.0239549,0.431298,0.00988135,0.287267,-2.93078,0.00967651
,,,,,,,,,,,,,,,,-0.0159122,0.00174197,0.789126,1.1755,0.311933,0.127824,-0.398597,-0.016855,0.117109,0.02575,0.0381178,1.95452,0.038263,0.262719,3.5265,-0.709716,0.0183756,0.0216349,-0.382889,0.000331858,0.00411504,-0.0327672,0.0058997,0.101388,0.0127059,-0.0,0.00174364,0.203398,-0.015708,0.155372,0.0183756,-2.86425,2.34879,0.00141178,0.0262864,0.466117,0.0109639,0.306033,-3.00771,0.0118313
,,,,,,,,,,,,,,,,-0.016085,0.00210446,0.977262,1.20384,0.335707,0.130899,-0.42904,-0.0208198,0.126994,0.0289877,0.0429567,2.00678,0.0402768,0.268206,3.61152,-0.699279,0.0181944,0.0246735,-0.413332,0.000353982,0.00431416,-0.0369048,0.0147493,0.159324,0.0143189,0.00147493,0.00193384,0.233606,-0.015708,0.16727,0.0196693,-3.0016,2.40541,0.00157985,0.0287289,0.501811,0.0122144,0.320957,-3.08022,0.0142278
