proportionalf_3.txt,integralf_3.txt,proportionalf_1.txt,integralf_1.txt,wrench_fz.txt,integralf_2.txt,integralf_4.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,proportionalf_2.txt,wrench_fy.txt,proportionalf_4.txt,wrench_my.txt,wrench_mz.txt,wrench_mx.txt,posa1.txt,error_vel_5.txt,trq1.txt,accd3.txt,error_vel_2.txt,veld4.txt,vela4.txt,posd4.txt,error_vel_1.txt,vela5.txt,veld1.txt,error_pos_2.txt,vela2.txt,accd4.txt,error_pos_1.txt,posd2.txt,accd5.txt,accd2.txt,trq3.txt,error_pos_4.txt,posa2.txt,posa5.txt,accd1.txt,posa3.txt,trq5.txt,vela3.txt,posd5.txt,veld2.txt,veld5.txt,error_pos_3.txt,posd1.txt,posa4.txt,posd3.txt,trq2.txt,vela1.txt,error_pos_5.txt,trq4.txt,veld3.txt,error_vel_4.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.0,0.128653,-0.0,-0.492188,0.0359387,0.0514984,0.0176991,0.00443649,0.0128746,0.00147493,0.0128746,0.00298502,0.00268512,0.384521,0.00110912,0.00332737,0.960603,0.288391,-1.77885,0.0033303,0.000342353,0.000442478,0.0961304,-0.0124721,-0.629699,0.0,0.0114741,0.0386238,0.130128,0.00679341,0.00110912,0.00110619,-0.00567871,0.846612,-0.0,0.0110316,0.130356,-0.065918,0.0337993,-0.065918
,,,,,,,,,,,,,,,,-0.0,0.13841,-0.0,-0.507593,0.036854,0.055404,0.0280236,0.0049709,0.013851,0.00147493,0.013851,0.00332541,0.00469896,0.396557,0.00124273,0.00372818,0.990668,0.297418,-1.81905,0.00351073,0.000402768,0.000464602,0.0991392,-0.0124721,-0.605346,0.0,0.0128239,0.041553,0.139885,0.00610936,0.00124273,0.00146018,-0.00636276,0.877968,-0.0,0.0123593,0.155703,-0.0709171,0.0273804,-0.0709171
,,,,,,,,,,,,,,,,-0.0,0.149939,-0.0,-0.522685,0.0358449,0.0594287,0.0501475,0.00554497,0.0148572,-0.0,0.0148572,0.0036452,0.00872665,0.408348,0.00138624,0.00415873,1.02012,0.306261,-1.82575,0.00350957,0.00051353,0.000486726,0.102087,-0.0124721,-0.587951,0.0,0.0142728,0.0445716,0.149939,0.00537456,0.00138624,0.0020354,-0.00709756,0.893646,-0.0,0.0137861,0.166566,-0.0760688,0.00928125,-0.0760688
,,,,,,,,,,,,,,,,1.00692e-05,0.15881,-0.0,-0.537466,0.0315669,0.0635702,0.0722714,0.00615987,0.0152213,0.00147493,0.0158925,0.00390499,0.0161107,0.419895,0.0015299,0.0046199,1.04897,0.314921,-1.84585,0.00328376,0.000714914,0.000486726,0.104974,-0.0124721,-0.577514,0.0,0.0158237,0.0476776,0.160285,0.00458749,0.00153997,0.00287611,-0.00788463,0.867516,0.00067128,0.0153369,0.184671,-0.0813698,-0.00870123,-0.0813698
,,,,,,,,,,,,,,,,1.00692e-05,0.169442,-0.0,-0.551937,0.0240182,0.0678258,0.079646,0.00681675,0.0169565,0.00147493,0.0169565,0.00408551,0.0268512,0.431201,0.00169412,0.00511257,1.07721,0.3234,-1.87935,0.00312206,0.00102706,0.00050885,0.1078,-0.0124721,-0.560119,0.0,0.0174794,0.0508694,0.170917,0.00374668,0.00170419,0.00369469,-0.00872545,0.7839,-0.0,0.0169706,0.195534,-0.0868171,-0.0118202,-0.0868171
,,,,,,,,,,,,,,,,1.00692e-05,0.180352,-0.0,-0.5661,0.02528,0.0721934,0.0811209,0.00751676,0.0180483,0.00147493,0.0180483,0.00433864,0.0288651,0.442266,0.00186912,0.00563757,1.10485,0.331699,-1.9095,0.00306986,0.00129893,0.000530973,0.110566,-0.0124721,-0.560119,0.0,0.0192429,0.054145,0.181827,0.00285067,0.00187919,0.0044469,-0.00962145,0.747318,-0.0,0.018712,0.213639,-0.0924075,-0.00892758,-0.0924075
,,,,,,,,,,,,,,,,1.00692e-05,0.193012,-0.0,-0.579957,0.0266239,0.0766703,0.0707965,0.00826099,0.0191676,-0.0,0.0191676,0.0045746,0.0308789,0.453092,0.00205518,0.00619574,1.1319,0.339819,-1.94635,0.00319461,0.00162114,0.000553097,0.113273,-0.0124721,-0.546203,0.0,0.0211169,0.0575028,0.193012,0.00189806,0.00206525,0.00506637,-0.0105741,0.689832,-0.0,0.0205638,0.238986,-0.098138,0.00587389,-0.098138
,,,,,,,,,,,,,,,,1.00692e-05,0.202988,-0.0,-0.59351,0.0287193,0.0812544,0.0634218,0.00905052,0.0203136,0.00147493,0.0203136,0.00487474,0.0322215,0.46368,0.00225256,0.00678789,1.15835,0.34776,-1.9564,0.00329831,0.00191315,0.000553097,0.11592,-0.0124721,-0.539245,0.0,0.0231041,0.0609408,0.204463,0.000887455,0.00226263,0.00575221,-0.0115847,0.621894,-0.0,0.022551,0.260712,-0.104006,0.0178326,-0.104006
,,,,,,,,,,,,,,,,1.00692e-05,0.214702,-0.0,-0.606761,0.044319,0.0859432,0.0707965,0.00988642,0.0214858,0.00147493,0.0214858,0.00533049,0.0201384,0.474032,0.00246154,0.00741482,1.18421,0.355524,-1.9966,0.00340412,0.00208433,0.000575221,0.118508,-0.0124878,-0.511413,-0.0010472,0.025207,0.0644574,0.216177,-0.000166791,0.00247161,0.0064823,-0.0126546,0.825708,-0.0,0.0246318,0.260712,-0.110007,0.0151467,-0.10896
,,,,,,,,,,,,,,,,1.00692e-05,0.226671,0.005226,-0.619711,0.05194,0.0907343,0.0707965,0.0107697,0.0226836,0.00147493,0.0226836,0.00583186,0.0161107,0.484149,0.00268236,0.00807729,1.20948,0.363112,-2.0167,0.00360158,0.00224543,0.000597345,0.121037,-0.0124878,-0.507934,0.0,0.0274284,0.0680507,0.228146,-0.00129742,0.00269243,0.00716814,-0.0137852,0.919776,-0.0,0.0268311,0.25347,-0.11614,0.0199378,-0.11614
