wrench_mz.txt,wrench_fx.txt,wrench_fy.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_5.txt,wrench_fz.txt,integralf_4.txt,wrench_my.txt,integralf_1.txt,proportionalf_3.txt,wrench_mx.txt,proportionalf_1.txt,integralf_3.txt,integralf_5.txt,proportionalf_4.txt,accd5.txt,veld3.txt,vela3.txt,error_vel_2.txt,posd1.txt,veld5.txt,posd2.txt,trq2.txt,vela2.txt,error_pos_3.txt,posa4.txt,accd4.txt,posa1.txt,posd3.txt,trq3.txt,trq5.txt,posd4.txt,posa3.txt,accd2.txt,vela5.txt,error_pos_2.txt,trq4.txt,vela1.txt,error_vel_4.txt,accd1.txt,accd3.txt,veld2.txt,vela4.txt,error_vel_3.txt,posa5.txt,error_pos_1.txt,error_pos_5.txt,trq1.txt,error_vel_5.txt,posd5.txt,veld4.txt,veld1.txt,error_vel_1.txt,posa2.txt,error_pos_4.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_2.txt,estimated_trqs_3.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.0228699,-0.609345,-0.584336,-0.173602,0.247656,2.34298,0.742969,0.245622,0.876692,-0.0984945,0.375619,0.00374991,0.203489,-0.643906,-4.53255,0.24353,0.39625,-0.545412,0.00703107,0.227139,0.0324051,0.068799,0.237633,-0.138293,0.00234369,-0.0060936,0.70309,0.513274,-0.0250083,0.0562611,0.0441677,2.42124,1.06088,2.11584,2.4775,0.374981,0.234363,-0.00327001,0.710564,0.0206306,-0.199715,0.00499392,-2.17888,-2.30267,-0.00522105
,,,,,,,,,,,,,,,,-0.000553097,-0.609375,-0.581195,-0.16954,0.25,2.34309,0.75,0.2613,0.872665,-0.0983206,0.381173,2.22045e-16,0.206006,-0.65,-4.56605,0.24353,0.4,-0.551679,2.22045e-16,0.240413,0.0302933,0.061557,0.238305,-0.138274,-2.22045e-16,-2.22045e-16,0.703125,0.513274,-0.0281804,0.0585619,0.0439941,2.44237,1.00862,2.10268,2.50093,0.375,0.234375,-0.00392957,0.719707,0.0188275,-0.0908126,-0.00761705,-1.92718,-2.1556,-0.0717212
,,,,,,,,,,,,,,,,-0.0239761,-0.609345,-0.578053,-0.167561,0.252344,2.34297,0.757031,0.229944,0.870651,-0.0986023,0.386305,-0.00374991,0.208302,-0.656094,-4.59955,0.20874,0.40375,-0.557491,-0.00703107,0.20944,0.0284334,0.086904,0.237633,-0.139768,-0.00234369,0.0060936,0.70309,0.514749,-0.0312915,0.060708,0.044042,2.46366,1.02952,2.13353,2.52436,0.374981,0.234363,-0.00327001,0.728598,0.0174447,-0.674313,0.00691996,-3.04388,-2.94997,0.131641
,,,,,,,,,,,,,,,,-0.0473955,-0.609253,-0.5791,-0.162967,0.254687,2.34261,0.764062,0.203814,0.865952,-0.0990562,0.391283,-0.00749925,0.210688,-0.662187,-4.66655,0.107849,0.4075,-0.56313,-0.0140611,0.221239,0.0272373,0.054315,0.240318,-0.12655,-0.00468703,0.0121863,0.702984,0.501475,-0.0301529,0.0630752,0.0439991,2.48472,0.99294,2.12138,2.54779,0.374925,0.234328,-0.00599029,0.736824,0.0162163,-0.211248,0.00495316,-2.74475,-2.36682,-0.422635
,,,,,,,,,,,,,,,,-0.0708079,-0.609101,-0.574911,-0.153745,0.25703,2.34202,0.771091,0.193362,0.856554,-0.099446,0.396372,-0.0112475,0.213095,-0.668279,-4.73355,0.031311,0.411248,-0.568832,-0.021089,0.238938,0.0257981,0.090525,0.236291,-0.134018,-0.00702967,0.0182771,0.702809,0.50885,-0.0341894,0.0654203,0.0439356,2.50579,1.00862,2.10309,2.57121,0.374831,0.23427,-0.00202119,0.745293,0.0148767,-0.342715,0.00743027,-2.66871,-2.37531,0.269658
,,,,,,,,,,,,,,,,-0.0942097,-0.608888,-0.566534,-0.145265,0.259373,2.3412,0.778118,0.329238,0.847827,-0.099834,0.401195,-0.014994,0.215491,-0.674369,-4.76705,0.020874,0.414996,-0.574534,-0.0281138,0.252212,0.0243568,0.068799,0.242332,-0.1312,-0.00937125,0.0243652,0.702563,0.5059,-0.0423537,0.0679867,0.0438814,2.52664,1.05043,2.08899,2.59463,0.3747,0.234188,-0.00814472,0.753761,0.0138013,-0.334087,-0.0003668,-2.68392,-2.44966,-0.508917
,,,,,,,,,,,,,,,,-0.117597,-0.608614,-0.563392,-0.141553,0.261714,2.34014,0.785142,0.308334,0.8438,-0.100534,0.406305,-0.0187383,0.217888,-0.680456,-4.8776,0.06958,0.418742,-0.579922,-0.0351343,0.252212,0.0229228,0.068799,0.235619,-0.126943,-0.0117114,0.0304497,0.702246,0.501475,-0.0452212,0.0706195,0.0438263,2.54742,0.99294,2.08793,2.61804,0.374531,0.234082,-0.00153733,0.762219,0.0124369,-0.540097,0.00907465,-3.10968,-2.7386,0.160973
,,,,,,,,,,,,,,,,-0.140968,-0.608279,-0.560251,-0.133884,0.264054,2.33885,0.792162,0.334464,0.835744,-0.100869,0.411239,-0.0224797,0.220294,-0.686541,-4.7905,0.184387,0.422487,-0.585671,-0.0421495,0.271386,0.0215758,0.090525,0.239647,-0.12125,-0.0140498,0.0365296,0.70186,0.495575,-0.0480279,0.0733407,0.0437599,2.56809,1.05565,2.06746,2.64143,0.374325,0.233953,-0.00569382,0.770586,0.0112476,-0.939684,0.00205161,-4.12079,-3.48861,-0.104207
,,,,,,,,,,,,,,,,-0.164317,-0.607883,-0.566534,-0.124272,0.266393,2.33732,0.799179,0.344916,0.825675,-0.101468,0.415973,-0.0262178,0.22267,-0.692621,-4.76035,0.233093,0.426229,-0.591153,-0.0491585,0.262537,0.0207584,0.068799,0.240318,-0.112644,-0.0163862,0.042604,0.701403,0.486726,-0.0413491,0.0758628,0.0437224,2.58895,0.99294,2.07478,2.66481,0.374082,0.233801,-0.00651728,0.77842,0.0102552,-0.989922,0.00730061,-4.44214,-3.48604,-0.130115
,,,,,,,,,,,,,,,,-0.187641,-0.607427,-0.568628,-0.110701,0.26873,2.33556,0.80619,0.33969,0.811578,-0.102031,0.420619,-0.029952,0.225027,-0.698698,-4.7905,0.253967,0.429968,-0.596667,-0.05616,0.271386,0.0197245,0.097767,0.241661,-0.104075,-0.01872,0.048672,0.700877,0.477876,-0.0387983,0.0785619,0.0437034,2.60962,1.00862,2.06417,2.68818,0.373801,0.233626,-0.00803537,0.786465,0.00934858,-0.910009,0.00572264,-4.27634,-3.40116,-0.284795
