wrench_my.txt,proportionalf_3.txt,integralf_3.txt,integralf_2.txt,wrench_fz.txt,proportionalf_5.txt,proportionalf_2.txt,wrench_fy.txt,proportionalf_4.txt,integralf_4.txt,proportionalf_1.txt,wrench_mx.txt,wrench_mz.txt,wrench_fx.txt,integralf_1.txt,integralf_5.txt,error_vel_3.txt,error_vel_1.txt,trq5.txt,accd3.txt,vela4.txt,accd2.txt,error_pos_5.txt,vela2.txt,posa1.txt,error_pos_2.txt,posa2.txt,accd1.txt,veld4.txt,posd2.txt,posa3.txt,error_pos_1.txt,veld1.txt,error_pos_4.txt,vela3.txt,error_vel_5.txt,posd1.txt,trq3.txt,veld3.txt,accd5.txt,posa5.txt,veld5.txt,error_vel_2.txt,accd4.txt,posd3.txt,vela1.txt,error_vel_4.txt,trq1.txt,vela5.txt,posd4.txt,veld2.txt,posd5.txt,trq4.txt,error_pos_3.txt,trq2.txt,posa4.txt,estimated_trqs_2.txt,estimated_trqs_5.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_4.txt
,,,,,,,,,,,,,,,,0.123012,0.0412113,-0.396606,-0.112885,-0.0,0.043418,-0.000124017,0.00067128,0.00239647,-0.000106021,0.000181246,0.122838,0.0210722,7.52246e-05,-0.00890642,0.00219316,0.0412113,-0.000771061,-0.128805,0.000476868,0.00458963,-0.6231,-0.0057928,0.00929187,0.000331858,0.00195179,0.00155675,0.0657209,-0.00021129,-0.0,0.0210722,-0.094068,0.00147493,0.00219354,0.00222803,0.000207842,0.050694,0.00869513,0.308334,0.0029646,0.936236,-0.00176934,-0.00649568,-1.83125,0.302278
,,,,,,,,,,,,,,,,0.121832,0.0424959,-0.396606,-0.123204,-0.0,0.0473866,-0.000148268,-0.0,0.00239647,-8.15035e-05,0.000181246,0.134059,0.0217595,9.97422e-05,-0.0101788,0.0026116,0.0424959,-0.000556952,-0.128805,0.000574043,0.00500807,-0.70015,-0.00697339,0.0101409,0.000376106,0.00204897,0.00268211,0.0717244,-0.000275035,-0.0,0.0217595,-0.0,0.00147493,0.00240765,0.00268211,0.000227838,0.050694,0.00990373,0.334464,0.0029646,1.45992,-0.00193854,0.0112669,-1.18854,0.632394
,,,,,,,,,,,,,,,,0.10903,0.0438918,-0.386169,-0.133349,0.00147493,0.0512887,-0.000171505,0.00067128,0.00239647,-6.2317e-05,0.000191315,0.14509,0.0225064,0.000128998,-0.0113097,0.00304345,0.0438918,-0.000357796,-0.117286,-0.00227021,0.00543992,-0.8442,-0.0082563,0.0109756,0.000420354,0.00215456,0.00250426,0.0776266,-0.000351098,-0.0,0.0210314,-0.0,0.00442478,0.00262893,0.00317554,0.000248849,0.047073,0.0109586,0.371046,0.00298673,1.17914,-0.00218453,0.00472546,-1.4786,0.449115
,,,,,,,,,,,,,,,,0.100316,0.0453971,-0.386169,-0.143323,-0.0,0.0551248,-0.000193645,0.00067128,0.00239647,-3.80022e-05,0.000201384,0.155934,0.0233117,0.000163382,-0.0123622,0.0034898,0.0453971,-0.000150878,-0.109956,-0.00215634,0.00588627,-1.15575,-0.0096398,0.0117962,0.000464602,0.00226843,0.00303638,0.0834281,-0.000440496,-0.0,0.0233117,-0.0,0.00442478,0.00285797,0.00370766,0.000270957,0.043452,0.0119217,0.402402,0.00300885,3.35475,-0.00602154,0.0325345,1.79898,1.98468
,,,,,,,,,,,,,,,,0.0276241,0.0470099,-0.368774,-0.153126,0.00442478,0.0588952,-0.000214605,0.00067128,0.00239647,-8.17547e-06,0.000211453,0.166589,0.0241746,0.000203278,-0.0126449,0.00395175,0.0470099,6.43822e-05,-0.0387463,-0.00350926,0.00634822,-1.5678,-0.0111222,0.0126026,0.00050885,0.00239044,0.00360653,0.0891295,-0.000544224,-0.0,0.0197498,-0.0,0.0058997,0.00309536,0.00427781,0.000294245,0.039831,0.0121007,0.423306,0.00303097,2.24829,-0.0042401,0.0188163,0.327736,1.21397
,,,,,,,,,,,,,,,,-0.0189849,0.0487283,-0.354858,-0.162758,0.00147493,0.0626001,-0.000256429,-0.0,0.00239647,3.76095e-05,0.000211453,0.177059,0.025094,0.000249063,-0.0125664,0.00443035,0.0487283,0.000288554,0.00628319,-0.00337927,0.00682682,-1.74535,-0.0127017,0.0133949,0.000575221,0.00252044,0.00488535,0.0947313,-0.000663263,-0.0,0.023619,-0.0,0.0058997,0.00334165,0.00488535,0.000318793,0.047073,0.0119031,0.465114,0.0030531,1.15276,-0.00255453,0.00367213,-1.72112,0.419838
,,,,,,,,,,,,,,,,-0.02066,0.0505504,-0.3479,-0.172222,0.00442478,0.06624,-0.000296913,0.00067128,0.00239647,7.95846e-05,0.000221523,0.187343,0.0260689,0.000301107,-0.0125035,0.00492666,0.0505504,0.000500075,0.00628319,-0.00176649,0.00732313,-1.81235,-0.0143768,0.0141733,0.000641593,0.00265829,0.00485832,0.100234,-0.000798577,-0.0,0.0216441,-0.0,0.00442478,0.00359742,0.0055296,0.00034468,0.043452,0.011705,0.501696,0.00309734,1.03172,-0.000749018,0.00146241,-1.7551,0.348916
,,,,,,,,,,,,,,,,-0.023476,0.0524745,-0.3479,-0.181517,0.00442478,0.0698152,-0.00033598,0.00067128,0.00239647,0.000128183,0.000231592,0.197443,0.0270983,0.000359775,-0.0124407,0.0054417,0.0524745,0.000721618,0.00733038,-0.0060457,0.00783817,-1.7956,-0.0161456,0.0149378,0.000707965,0.00280386,0.00553865,0.105638,-0.000951112,-0.0,0.0226735,-0.0,0.00884956,0.00386321,0.00620993,0.000371984,0.039831,0.0114896,0.517374,0.00314159,0.967276,-0.00258768,-0.00115157,-1.858,0.303759
,,,,,,,,,,,,,,,,-0.0242898,0.0544987,-0.337463,-0.190646,0.00442478,0.0733261,-0.000395678,0.00067128,0.00239647,0.000183763,0.000241661,0.20736,0.0281813,0.000425424,-0.0123779,0.00597648,0.0544987,0.000953725,0.00628319,-0.0029427,0.00837296,-1.7822,-0.0180066,0.0156885,0.00079646,0.002957,0.00625441,0.110944,-0.0011218,-0.0,0.0237565,0.005226,0.0058997,0.00413956,0.00692569,0.000400782,0.039831,0.0112561,0.533052,0.00318584,0.940072,-0.000420041,0.0267835,-1.90983,0.27977
,,,,,,,,,,,,,,,,-0.0241468,0.0559498,-0.333984,-0.199607,0.00442478,0.076773,-0.000475931,0.00067128,0.00240654,0.000246675,0.00025173,0.217094,0.0293169,0.000498405,-0.0123308,0.00652193,0.0566211,0.00119692,0.00418879,-0.0072069,0.00892847,-1.7487,-0.019958,0.0164254,0.00090708,0.00311758,0.00700496,0.116153,-0.00131154,0.00067128,0.0248921,0.062712,0.0103245,0.00442701,0.00767624,0.000431149,0.043452,0.0110192,0.564408,0.00323009,0.760817,-0.000564601,0.00263968,-2.05816,0.149679
