integralf_4.txt,wrench_mx.txt,wrench_my.txt,proportionalf_3.txt,integralf_1.txt,wrench_fx.txt,wrench_mz.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,proportionalf_4.txt,integralf_5.txt,proportionalf_5.txt,wrench_fy.txt,wrench_fz.txt,proportionalf_2.txt,error_pos_1.txt,error_vel_3.txt,posd2.txt,veld4.txt,posa5.txt,accd4.txt,accd5.txt,posd4.txt,error_vel_1.txt,trq5.txt,error_vel_2.txt,veld2.txt,error_vel_5.txt,posa1.txt,veld3.txt,error_pos_3.txt,posa2.txt,trq3.txt,error_pos_4.txt,trq1.txt,posa3.txt,trq2.txt,veld5.txt,posd1.txt,accd3.txt,veld1.txt,accd2.txt,vela3.txt,error_pos_5.txt,posd3.txt,vela5.txt,vela4.txt,vela1.txt,error_pos_2.txt,vela2.txt,posd5.txt,error_vel_4.txt,accd1.txt,trq4.txt,posa4.txt,estimated_trqs_3.txt,estimated_trqs_2.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.0034341,0.0390673,0.00115812,0.0691011,0.000154867,1.28133,0.0697649,0.00248377,0.0995174,-0.935851,0.0331725,0.0338437,0.00515736,4.02768e-05,-0.0876436,0.00437754,0.000151038,-0.58625,0.00201917,0.245622,-0.00746128,0.334464,0.00515736,0.00347437,-1.64077,0.101531,0.64125,-0.126711,0.000140768,-0.00308374,-0.0,0.00884956,0.00201384,0.00100709,0.00067128,0.000295635,0.0602515,1.92375,-0.155703,0.000464602,-2.65405,0.497949,-0.0274289,-0.000374545,0.01758
,,,,,,,,,,,,,,,,0.00450798,0.0397845,0.00152951,0.0824434,0.000154867,1.38646,0.0754868,0.00324062,0.118878,-0.911498,0.0398497,0.040521,0.00440888,8.05537e-05,-0.104729,0.00490906,0.000161107,-0.6834,0.00264327,0.41808,-0.00895354,0.381498,0.0058838,0.00458853,-1.7754,0.121563,0.693866,-0.144513,0.000195926,-0.00404448,0.00147493,0.0103245,0.00268512,0.0013684,0.00067128,0.000350793,0.0721189,2.0816,-0.152082,0.000597345,-1.95581,1.06799,0.365808,-0.00132284,0.125334
,,,,,,,,,,,,,,,,0.00574969,0.027662,0.00197027,0.096817,0.000176991,1.4876,0.0809903,0.00413608,0.137102,-0.894103,0.0470431,0.0477144,0.00519144,0.000161107,-0.123134,0.00527878,0.000181246,-0.84085,0.00333962,0.658476,-0.0104615,0.423306,0.00666637,0.0059108,-1.9049,0.143143,0.74448,-0.150796,0.000236507,-0.00518272,0.00147493,0.0176991,0.00604152,0.00178902,0.00067128,0.000413498,0.0791179,2.23344,-0.14484,0.00079646,-1.15717,1.72097,0.761432,-0.0017541,0.278579
,,,,,,,,,,,,,,,,0.00710393,-0.000391007,0.00248545,0.112182,0.000199115,1.58477,0.086278,0.00518026,0.153458,-0.883666,0.0533902,0.055404,0.00602796,0.000352422,-0.14281,0.00539523,0.000191315,-1.0385,0.00402982,0.872742,-0.0119066,0.47034,0.00750289,0.00745636,-2.02934,0.166212,0.793114,-0.142419,0.000285185,-0.0065114,0.00147493,0.0265487,0.0127543,0.00229414,0.00201384,0.0004843,0.0856334,2.37934,-0.079662,0.00115044,-0.429762,2.32214,1.22111,-0.00146093,0.624305
,,,,,,,,,,,,,,,,0.00851482,-0.0401352,0.00307993,0.128499,0.000199115,1.67803,0.0913523,0.00638289,0.161845,-0.86975,0.0628989,0.0635702,0.00839122,0.000724983,-0.163705,0.00490038,0.000211453,-1.31655,0.00463511,0.94068,-0.0129434,0.512148,0.00839122,0.0092398,-2.14877,0.19071,0.83979,-0.123569,0.000364614,-0.00804298,-0.0,0.0486726,0.0288651,0.00286848,0.00067128,0.000563729,0.0798268,2.51937,0.061557,0.00174779,1.13677,3.42504,1.91994,-0.0030597,0.58837
,,,,,,,,,,,,,,,,0.010097,-0.112465,0.00375838,0.14573,0.000221239,1.76743,0.0962157,0.0077533,0.173618,-0.841918,0.0701795,0.0721934,0.00785431,0.0011781,-0.185769,0.00370375,0.000231592,-1.7889,0.00531967,1.22288,-0.0134931,0.585312,0.00932923,0.0112751,-2.26324,0.21658,0.884531,-0.0733038,0.000431051,-0.00978939,0.00147493,0.0678466,0.042962,0.00352679,0.00201384,0.00065229,0.0778833,2.65359,0.14484,0.00243363,-0.512402,1.88142,0.809881,-0.000753983,0.563764
,,,,,,,,,,,,,,,,0.0117533,-0.163924,0.00452526,0.163835,0.000243363,1.85301,0.100871,0.00930041,0.187376,-0.824523,0.0785693,0.0812544,0.0103148,0.00182253,-0.208953,0.00218658,0.000261799,-1.87935,0.00631368,1.27514,-0.0139487,0.648024,0.0103148,0.0135758,-2.37282,0.243763,0.92736,-0.0450295,0.000507109,-0.0117621,-0.0,0.0619469,0.0563876,0.00426346,0.00268512,0.000750472,0.101888,2.78208,0.152082,0.00298673,-2.0336,0.772216,0.0131091,0.00297586,0.684604
,,,,,,,,,,,,,,,,0.0135165,-0.189227,0.00538486,0.182777,0.000243363,1.9348,0.105319,0.0110328,0.199033,-0.807128,0.0880491,0.0907343,0.00987103,0.00263813,-0.233209,0.000369345,0.000302076,-2.0301,0.00758146,1.39534,-0.0143414,0.742092,0.011346,0.0161546,-2.47757,0.272203,0.968299,-0.0439823,0.000615376,-0.013972,0.00147493,0.0486726,0.0731696,0.00508279,0.00268512,0.000858739,0.134105,2.9049,0.137598,0.00345133,-1.52634,1.24537,0.296576,0.00145967,0.65278
,,,,,,,,,,,,,,,,0.0154593,-0.223931,0.00634128,0.202519,0.000265487,2.01287,0.109565,0.0129586,0.213233,-0.782775,0.0959152,0.100614,0.0109456,0.0035645,-0.258489,-0.00175844,0.000362491,-2.25455,0.00919756,1.48941,-0.0146712,0.820482,0.0124205,0.0190238,-2.57754,0.301842,1.00737,-0.0345575,0.000712049,-0.0164297,0.00147493,0.0368732,0.088609,0.00597879,0.00469896,0.000977536,0.165646,3.02211,0.115872,0.00376106,-1.66885,1.26406,0.231009,0.00258807,0.853583
,,,,,,,,,,,,,,,,0.0174527,-0.25647,0.00739842,0.223023,0.000287611,2.08725,0.113609,0.0150857,0.223879,-0.775817,0.10282,0.110876,0.0120617,0.0047426,-0.284744,-0.00422248,0.000463184,-2.3919,0.0111477,1.63574,-0.0149226,0.867516,0.0135366,0.0221953,-2.67279,0.332627,1.0446,-0.0282743,0.000819677,-0.0191451,0.00147493,0.0235988,0.108747,0.00693523,0.00805537,0.00110729,0.199424,3.13379,0.094146,0.00393805,-1.968,1.26265,0.0896679,0.00335173,1.04718
