integralf_3.txt,wrench_fx.txt,proportionalf_2.txt,wrench_my.txt,proportionalf_3.txt,wrench_mz.txt,integralf_5.txt,wrench_mx.txt,proportionalf_5.txt,integralf_4.txt,proportionalf_4.txt,integralf_2.txt,proportionalf_1.txt,wrench_fy.txt,integralf_1.txt,wrench_fz.txt,trq5.txt,veld3.txt,error_vel_4.txt,trq3.txt,posd1.txt,error_pos_4.txt,vela2.txt,error_pos_1.txt,trq1.txt,error_vel_2.txt,accd5.txt,error_vel_1.txt,accd4.txt,posd4.txt,vela3.txt,error_vel_3.txt,veld4.txt,error_pos_2.txt,error_vel_5.txt,error_pos_5.txt,accd1.txt,veld2.txt,posd5.txt,posa5.txt,posd2.txt,posd3.txt,vela5.txt,trq4.txt,vela1.txt,posa3.txt,posa2.txt,error_pos_3.txt,posa1.txt,accd2.txt,posa4.txt,veld5.txt,accd3.txt,vela4.txt,veld1.txt,trq2.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,-0.017395,-0.0114075,0.00743718,-0.603,0.00485558,-8.83605e-06,-0.0,0.00248931,-0.067938,0.00891211,0.0494965,0.0478952,0.173672,0.000300898,-0.13823,0.126823,0.00891211,0.00014986,0.00253995,8.57561e-05,0.253089,0.00891211,8.57561e-05,-0.0,0.000300898,-0.00038515,-0.0,0.032589,-0.0,-0.00879646,0.000151038,0.00841131,0.00236626,0.173672,0.000309734,0.00253995,-0.2223,0.00147493,0.0478952,0.344916,0.350396,0.00230945,-0.00196926,-1.87814,1.05252
,,,,,,,,,,,,,,,,0.013916,-0.0137324,0.00630364,-0.737,0.00534757,4.49865e-05,0.00067128,0.00298131,-0.0,0.0100571,0.0540207,0.050542,0.189546,0.000398969,-0.141372,0.127639,0.0107284,0.000247931,0.0030576,0.000113706,0.276215,0.0107284,0.000113706,-0.0,0.000398969,-0.00051068,-0.0,0.03621,-0.0,-0.0102102,0.000151038,0.0096995,0.00236626,0.189546,0.000353982,0.0030576,-0.242619,0.00442478,0.050542,0.36582,0.668199,0.00751072,-0.00279311,-1.03372,1.48601
,,,,,,,,,,,,,,,,0.031311,-0.0162588,0.00827737,-0.92125,0.00586718,0.000117762,0.00067128,0.00350092,-0.0,0.0120309,0.0584692,0.0534182,0.205155,0.000515992,-0.125664,0.109405,0.0127022,0.000354884,0.00362011,0.000147058,0.298953,0.0127022,0.000147058,-0.0,0.000515992,-0.000660469,-0.0,0.032589,-0.0,-0.0114511,0.000161107,0.0107906,0.00236626,0.205155,0.00039823,0.00362011,-0.262598,0.00442478,0.0534182,0.397176,0.714748,0.00874494,-0.00292267,-0.929204,1.55309
,,,,,,,,,,,,,,,,-0.027832,-0.0189832,0.0104059,-1.1323,0.00641668,0.00021105,0.00067128,0.00405042,-0.0,0.0141594,0.0628423,0.0565198,0.220499,0.000653528,-0.107861,0.0888781,0.0148306,0.000482351,0.00422673,0.000186255,0.321304,0.0148306,0.000186255,-0.0,0.000653528,-0.000836515,-0.0,0.03621,-0.0,-0.0123465,0.000171177,0.0115099,0.00236626,0.220499,0.000442478,0.00422673,-0.282239,0.00442478,0.0565198,0.438984,1.28477,0.0221383,-0.00447369,0.360364,2.3681
,,,,,,,,,,,,,,,,0.013916,-0.0219024,0.0126865,-1.4204,0.00699831,0.000326386,0.00067128,0.00463205,-0.0,0.01644,0.0671405,0.059843,0.235581,0.000813112,-0.0638791,0.0419766,0.0171113,0.000631866,0.00487671,0.000231737,0.34327,0.0171113,0.000231737,-0.0,0.000813112,-0.00104078,-0.0,0.03621,-0.0,-0.0127392,0.000181246,0.0116984,0.00236626,0.235581,0.000486726,0.00487671,-0.301543,0.00442478,0.059843,0.454662,1.58121,0.029258,-0.0052803,1.03093,2.7924
,,,,,,,,,,,,,,,,0.03479,-0.025013,0.0151166,-1.6214,0.00761427,0.000465278,0.00067128,0.00524801,-0.0,0.0188701,0.0713641,0.0633839,0.2504,0.000996251,-0.00628319,-0.0187298,0.0195414,0.000804936,0.00556929,0.000283932,0.364854,0.0195414,0.000283932,-0.0,0.000996251,-0.0012752,-0.0,0.043452,-0.0,-0.012692,0.000191315,0.0114168,0.00236626,0.2504,0.000530973,0.00556929,-0.320513,0.00442478,0.0633839,0.486018,0.531498,0.00292868,-0.00238499,-1.21909,1.27241
,,,,,,,,,,,,,,,,-0.027832,-0.0283116,0.0206435,-1.7152,0.00826671,0.000651332,-0.0,0.00590044,0.005226,0.0221184,0.0755136,0.0671388,0.26496,0.00120443,0.00733038,-0.0356419,0.0221184,0.00101311,0.00630374,0.000343262,0.386058,0.0221184,0.000343262,-0.0,0.00120443,-0.00154167,-0.0,0.043452,-0.0,-0.0126135,0.000191315,0.0110718,0.00236626,0.26496,0.000553097,0.00630374,-0.339149,0.00147493,0.0671388,0.533052,0.280971,0.0317175,-0.00162772,-1.93772,0.969846
,,,,,,,,,,,,,,,,-0.0,-0.0317948,0.0233648,-1.7219,0.00895775,0.000863879,0.00067128,0.00658141,0.083616,0.0241684,0.0795893,0.0704325,0.279261,0.0014391,0.00418879,-0.0359836,0.0248397,0.00122765,0.00707932,0.000410144,0.406883,0.0248397,0.000410144,-0.0,0.0014391,-0.00184205,-0.0,0.043452,0.00067128,-0.0125978,0.000211453,0.0107557,0.00237633,0.279261,0.000575221,0.00707932,-0.357454,0.00147493,0.0711038,0.569634,0.35189,0.00824615,-0.00200303,-1.90465,1.08356
,,,,,,,,,,,,,,,,0.024353,-0.0354595,0.023278,-1.7353,0.00968947,0.00108223,0.00201384,0.00730307,0.198588,0.0256889,0.0835917,0.0746039,0.293304,0.0017017,0.0,-0.0354595,0.0277028,0.0014701,0.00789529,0.000484983,0.427332,0.0277028,0.000484983,-0.0,0.0017017,-0.00217817,-0.0,0.054315,0.00067128,-0.0125978,0.000231592,0.0104196,0.0023864,0.293304,0.000619469,0.00789529,-0.37543,0.00442478,0.0752752,0.606216,0.285878,-0.0127672,-0.00171904,-1.84613,0.883257
,,,,,,,,,,,,,,,,-0.024353,-0.0393023,0.0262802,-1.7353,0.0104639,0.00135203,0.00067128,0.00805738,0.266526,0.0300337,0.0875212,0.0789779,0.307092,0.00199362,0.0,-0.0393023,0.030705,0.00175196,0.00875091,0.000568181,0.447407,0.030705,0.000568181,-0.0,0.00199362,-0.00255183,-0.0,0.061557,0.00067128,-0.0125978,0.000241661,0.010046,0.00240654,0.307092,0.000641593,0.00875091,-0.393078,0.00442478,0.0796492,0.648024,0.297465,0.095947,-0.00139056,-1.82583,1.04565
