proportionalf_4.txt,proportionalf_2.txt,wrench_fy.txt,wrench_mz.txt,wrench_fx.txt,integralf_5.txt,wrench_fz.txt,proportionalf_5.txt,integralf_4.txt,integralf_2.txt,wrench_my.txt,integralf_1.txt,proportionalf_1.txt,proportionalf_3.txt,wrench_mx.txt,integralf_3.txt,error_vel_4.txt,accd5.txt,trq4.txt,vela4.txt,veld4.txt,error_vel_5.txt,error_vel_3.txt,error_pos_2.txt,veld1.txt,accd4.txt,vela2.txt,posa4.txt,veld3.txt,posd1.txt,trq3.txt,accd2.txt,posa3.txt,trq1.txt,trq2.txt,accd1.txt,posd3.txt,posa1.txt,error_pos_4.txt,vela3.txt,posa2.txt,error_pos_5.txt,error_pos_1.txt,veld2.txt,posd5.txt,error_vel_2.txt,posa5.txt,posd4.txt,error_vel_1.txt,posd2.txt,accd3.txt,vela1.txt,vela5.txt,trq5.txt,error_pos_3.txt,veld5.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_1.txt,estimated_trqs_3.txt
,,,,,,,,,,,,,,,,-0.0542495,0.0952075,-0.184671,0.0619469,0.00769744,0.0048857,0.0796094,-7.59313e-05,0.00891211,0.121258,-0.0,0.0024115,-0.00311924,0.000300898,-0.45225,0.0607852,-0.00444535,-0.0,0.36582,0.173672,-0.000105314,-0.0,-0.0020318,-0.0827286,0.000181246,9.12097e-05,0.000300898,0.00311924,0.000334572,0.00311924,0.000243363,0.000379707,0.00891211,0.000105314,-0.0607852,-0.0,0.00147493,-0.716674,0.00434004,0.00636062,-0.000757858,-0.056281,0.51113,0.00981259,-2.39982
,,,,,,,,,,,,,,,,-0.0441317,0.10391,-0.18105,0.0530973,0.00896559,0.00588141,0.0873512,-4.16066e-05,0.0107284,0.132342,0.00067128,0.00287611,-0.00375495,0.000398969,-0.4422,0.0663412,-0.00543496,-0.0,0.39195,0.189546,-0.000139639,-0.0,-0.00241318,-0.0911062,0.000181246,0.000137598,0.000398969,0.00375495,0.000403085,0.00308367,0.000265487,0.00046293,0.0107284,0.000139639,-0.0663412,-0.0,0.00147493,-0.688842,0.00529532,0.00735633,0.000265896,-0.41305,-0.0111858,0.00230791,-3.03231
,,,,,,,,,,,,,,,,-0.0294794,0.112466,-0.076041,0.039823,0.0103437,0.0069634,0.10551,-1.07179e-05,0.0127022,0.143239,0.00067128,0.00323009,-0.00444575,0.000515992,-0.4623,0.0718043,-0.00658164,-0.0,0.428532,0.205155,-0.000180597,-0.0,-0.0026707,-0.109956,0.000191315,0.000194376,0.000515992,0.00444575,0.000481987,0.00377447,0.000287611,0.000559385,0.0127022,0.000180597,-0.0718043,-0.0,0.00147493,-0.678405,0.00640104,0.00843833,-0.000264642,-0.215398,0.235824,-0.00161617,-2.60725
,,,,,,,,,,,,,,,,-0.0161938,0.120877,0.010863,0.0280236,0.0118298,0.00813024,0.115237,3.74198e-05,0.0148306,0.153952,-0.0,0.0034292,-0.00519072,0.000653528,-0.57285,0.0771748,-0.00785398,-0.0,0.44421,0.220499,-0.000228735,-0.0,-0.00275904,-0.120428,0.000191315,0.000284524,0.000653528,0.00519072,0.000572134,0.00519072,0.000287611,0.000670163,0.0148306,0.000228735,-0.0771748,-0.0,0.00147493,-0.66101,0.00762525,0.00960517,0.000461447,-0.469364,-0.0374038,0.0183923,-2.89253
,,,,,,,,,,,,,,,,0.00752238,0.129145,0.054315,0.0058997,0.0134221,0.00938047,0.127005,8.32049e-05,0.0171113,0.164482,0.00067128,0.00345133,-0.00598894,0.000813112,-0.6968,0.0824532,-0.00914203,-0.0,0.480792,0.235581,-0.000284589,-0.0,-0.00265499,-0.132994,0.000201384,0.000364634,0.000813112,0.00598894,0.000674368,0.00531766,0.000309734,0.000796335,0.0171113,0.000284589,-0.0824532,-0.0,0.00147493,-0.643615,0.00885745,0.0108554,-0.00240333,0.555661,1.31958,0.00901599,-1.01131
,,,,,,,,,,,,,,,,0.0165937,0.137268,0.057936,-0.00147493,0.0151188,0.0107127,0.106258,0.000137235,0.0195414,0.174828,-0.0,0.0034292,-0.00683948,0.000996251,-0.8576,0.0876401,-0.0101945,-0.0,0.501696,0.2504,-0.000348688,-0.0,-0.00249025,-0.113097,0.000211453,0.000457657,0.000996251,0.00683948,0.000789515,0.00683948,0.000331858,0.000938953,0.0195414,0.000348688,-0.0876401,-0.0,0.00147493,-0.633178,0.00984578,0.0121876,-0.00259787,0.586709,1.39494,0.00965115,-1.29187
,,,,,,,,,,,,,,,,0.016918,0.145249,0.057936,-0.0,0.016918,0.0121254,0.0959311,0.000210097,0.0221184,0.184993,0.00067128,0.0034292,-0.00774144,0.00120443,-0.9782,0.092736,-0.0111684,-0.0,0.527826,0.26496,-0.00042155,-0.0,-0.00233015,-0.103673,0.000211453,0.000564406,0.00120443,0.00774144,0.000918388,0.00707016,0.000353982,0.00109905,0.0221184,0.00042155,-0.092736,-0.0,0.00147493,-0.62622,0.0107468,0.0136003,-0.00278807,0.66715,1.48583,0.00768225,-1.03397
,,,,,,,,,,,,,,,,0.0188181,0.153088,0.061557,-0.0,0.0188181,0.0136172,0.0792707,0.000282163,0.0248397,0.194978,0.00067128,0.0034292,-0.0086939,0.0014391,-1.06865,0.0977413,-0.0119381,-0.0,0.559182,0.279261,-0.000503685,-0.0,-0.00215155,-0.0879646,0.000221523,0.000685679,0.0014391,0.0086939,0.00106178,0.00802262,0.000376106,0.00127765,0.0248397,0.000503685,-0.0977413,-0.0,0.00147493,-0.601867,0.0114344,0.0150921,-0.00481053,1.41232,2.51694,0.0170016,0.629848
,,,,,,,,,,,,,,,,0.0193421,0.160786,0.068799,0.00147493,0.020817,0.0151867,0.0290503,0.000364002,0.0277028,0.204782,-0.0,0.00345133,-0.00969597,0.0017017,-1.5477,0.102657,-0.0120951,-0.0,0.569634,0.293304,-0.000595593,-0.0,-0.00197558,-0.0387463,0.000231592,0.000822259,0.0017017,0.00969597,0.00122049,0.00969597,0.00039823,0.00147574,0.0277028,0.000595593,-0.102657,-0.0,0.00147493,-0.598388,0.0114995,0.0166616,-0.00473299,1.42824,2.61385,0.0602214,0.711104
,,,,,,,,,,,,,,,,0.0229131,0.168344,0.065178,-0.0,0.0229131,0.0168324,-0.0233131,0.000466175,0.030705,0.214408,0.00067128,0.00345133,-0.0107467,0.00199362,-1.6549,0.107482,-0.0119066,-0.0,0.616668,0.307092,-0.000697767,1.00692e-05,-0.00175701,0.0125664,0.000231592,0.000974917,0.00198355,0.0107467,0.00139527,0.0100755,0.000420354,0.00169431,0.0300337,0.000697767,-0.107482,0.00067128,0.00147493,-0.59143,0.0112089,0.0183074,-0.00225045,0.417461,1.12255,-0.0248059,-1.60129
