proportionalf_3.txt,integralf_3.txt,wrench_mz.txt,integralf_5.txt,proportionalf_2.txt,integralf_2.txt,wrench_fz.txt,proportionalf_5.txt,proportionalf_1.txt,wrench_mx.txt,wrench_my.txt,wrench_fy.txt,integralf_4.txt,wrench_fx.txt,integralf_1.txt,proportionalf_4.txt,posd4.txt,trq1.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,error_vel_1.txt,accd1.txt,vela3.txt,posa2.txt,trq3.txt,error_vel_3.txt,posd1.txt,trq5.txt,error_pos_5.txt,veld4.txt,veld1.txt,vela4.txt,error_pos_3.txt,veld3.txt,error_vel_4.txt,posa5.txt,vela5.txt,error_pos_2.txt,posd5.txt,veld5.txt,trq2.txt,accd2.txt,posa1.txt,accd5.txt,trq4.txt,posd2.txt,accd3.txt,vela1.txt,posa4.txt,vela2.txt,posd3.txt,posa3.txt,error_vel_5.txt,error_pos_1.txt,accd4.txt,estimated_trqs_1.txt,estimated_trqs_2.txt,estimated_trqs_4.txt,estimated_trqs_3.txt,estimated_trqs_5.txt
,,,,,,,,,,,,,,,,0.00120443,-0.0,-0.0022469,0.0165888,0.0159175,0.0055296,0.06624,-0.103673,0.000191315,-1.1122,0.0753612,0.000301107,-0.598388,0.000333728,0.0221184,0.0055296,0.0412979,0.0107106,-0.0283114,-0.0191795,0.000265487,0.00147493,0.000712007,0.000599214,0.00773891,0.465114,0.19872,-0.0,0.0750349,-0.047073,0.000903322,-0.339147,-0.0,0.00345133,0.00067128,-0.00155737,-0.0122679,0.00626399,0.000301107,0.26496,0.024168,0.944825,0.246359,-1.34708,-0.00189292
,,,,,,,,,,,,,,,,0.0014391,-0.0,-0.0020786,0.0186298,0.0179585,0.00620993,0.0698152,-0.0858702,0.000201384,-1.35005,0.0540756,0.000359775,-0.580993,0.000392813,0.0248397,0.00620993,0.0221239,0.0108814,-0.0317946,0.00271583,0.000287611,-0.0,0.000877941,0.000680423,0.00850957,0.49647,0.209446,-0.0,0.0790843,0.03621,0.00107933,-0.357452,-0.0,0.0035177,0.00067128,-0.00185774,-0.0127392,0.00850957,0.000359775,0.279261,0.0358994,1.74169,0.807072,-0.127394,-0.00264753
,,,,,,,,,,,,,,,,0.0017017,-0.0,-0.00179388,0.0207771,0.0201058,0.00692569,0.0733261,-0.0439823,0.000211453,-1.5745,0.00852298,0.000425424,-0.570556,0.000459805,0.0277028,0.00692569,0.00442478,0.0105767,-0.0354593,0.023278,0.000309734,0.00147493,0.00106482,0.00076954,0.00932036,0.538278,0.219978,-0.0,0.0830608,0.047073,0.00127627,-0.375427,-0.0,0.00349557,0.00067128,-0.00219386,-0.0127706,0.00784543,0.000425424,0.293304,0.0265726,2.14896,1.1177,0.181379,-0.00397487
,,,,,,,,,,,,,,,,0.00199362,-0.0,-0.00150196,0.0230287,0.0223574,0.00767624,0.076773,-0.0010472,0.000221523,-1.67165,-0.0382549,0.000498405,-0.563598,0.000557227,0.030705,0.00767624,-0.00147493,0.0101559,-0.0393021,0.0321799,0.000309734,0.00147493,0.00127369,0.000866962,0.0101705,0.595764,0.230319,-0.0,0.0869648,0.050694,0.00149521,-0.393075,-0.0,0.00349557,0.00067128,-0.00256752,-0.0127235,0.00869562,0.000498405,0.307092,0.00114392,1.20953,0.476407,-1.51621,-0.00267588
,,,,,,,,,,,,,,,,0.00231625,-0.0,-0.00117932,0.0253828,0.0247115,0.00846094,0.0801562,0.00418879,0.000241661,-1.69845,-0.0475085,0.000579062,-0.549682,0.000641221,0.0338437,0.00846094,-0.0,0.00972725,-0.0433197,0.0338437,0.000331858,-0.0,0.00149553,0.000973079,0.0110594,0.62712,0.240469,-0.0,0.0907966,0.050694,0.00173719,-0.410397,-0.0,0.00349557,0.00067128,-0.00298049,-0.0127077,0.0110594,0.000579062,0.320625,0.0114863,1.01999,0.300318,-1.9197,-0.0014412
,,,,,,,,,,,,,,,,0.00267094,-0.0,-0.000824634,0.0278375,0.0258236,0.00927915,0.0834762,0.0010472,0.000271869,-1.71185,-0.0485562,0.000667735,-0.539245,0.000734294,0.0371166,0.00927915,-0.0,0.00927325,-0.047509,0.0371166,0.000353982,0.00147493,0.00173134,0.00108828,0.0119862,0.65325,0.250429,-0.0,0.0945567,0.054315,0.00200321,-0.427396,-0.0,0.00349557,0.00201384,-0.00343449,-0.0127077,0.0105113,0.000667735,0.333905,0.00585341,1.02602,0.324729,-1.83731,-0.00187962
,,,,,,,,,,,,,,,,0.00305902,-0.0,-0.000458678,0.0303908,0.0277056,0.0101303,0.0867333,0.0,0.000292007,-1.7152,-0.0518666,0.000764755,-0.518371,0.000858946,0.040521,0.0101303,-0.0,0.00877651,-0.0518666,0.040521,0.000353982,0.00147493,0.00200226,0.00121293,0.0129503,0.70551,0.2602,-0.0,0.0982454,0.061557,0.00229427,-0.444072,-0.0,0.0035177,0.00268512,-0.00393123,-0.0127077,0.0114754,0.000764755,0.346933,-0.00789486,0.98703,0.34098,-1.7953,-0.00228642
,,,,,,,,,,,,,,,,0.00348179,-0.0,-3.59074e-05,0.0330408,0.031027,0.0110136,0.0899278,0.0,0.000332284,-1.7286,-0.0563893,0.000870448,-0.514892,0.000971298,0.0440544,0.0110136,0.00147493,0.00823537,-0.0563893,0.0425795,0.000376106,-0.0,0.00227906,0.0013474,0.0139509,0.726414,0.269783,-0.0,0.101863,0.054315,0.00261134,-0.460427,-0.0,0.0035177,0.00201384,-0.00447237,-0.0127077,0.0139509,0.000870448,0.359711,0.0206638,1.12986,0.353999,-1.7762,-0.00159655
,,,,,,,,,,,,,,,,0.00394053,-0.0,0.000422832,0.0357858,0.0317581,0.0119286,0.09306,0.0,0.00038263,-1.75875,-0.0610741,0.000985133,-0.507934,0.00109384,0.0477144,0.0119286,-0.0,0.00764819,-0.0610741,0.0477144,0.00039823,0.00147493,0.00257277,0.00149207,0.0149873,0.752544,0.27918,-0.0,0.10541,0.043452,0.0029554,-0.476464,-0.0,0.0035177,0.00402768,-0.00505956,-0.0127077,0.0135124,0.000985133,0.37224,0.019154,1.17663,0.390022,-1.74405,-0.00209804
,,,,,,,,,,,,,,,,0.00443649,-0.0,0.00089667,0.0386238,0.0325823,0.0128746,0.0961304,0.0,0.000473253,-1.7755,-0.0659176,0.00110912,-0.490539,0.00124904,0.0514984,0.0128746,-0.0,0.00701336,-0.0659176,0.0514984,0.00039823,0.00147493,0.00285412,0.00164727,0.0160589,0.7839,0.288391,-0.0,0.108888,0.039831,0.00332737,-0.492184,-0.0,0.00353982,0.00604152,-0.00569438,-0.0127077,0.014584,0.00110912,0.384521,0.0216307,1.37603,0.519195,-1.6268,-0.00289564
,,,,,,,,,,,,,,,,0.0049709,-0.0,0.00138683,0.041553,0.0328264,0.013851,0.0991392,0.0,0.00063436,-1.80565,-0.0709167,0.00124273,-0.48706,0.001393,0.055404,0.013851,0.00442478,0.00632932,-0.0709167,0.0509792,0.000420354,-0.0,0.00309382,0.00181336,0.0171649,0.778674,0.297418,-0.0,0.112295,0.03621,0.00372818,-0.50759,-0.0,0.00358407,0.00872665,-0.00637843,-0.0127077,0.0171649,0.00124273,0.396557,0.0793485,1.6149,0.509401,-1.62067,-0.00219165
,,,,,,,,,,,,,,,,0.00554497,-0.0,0.00191665,0.0445716,0.0277895,0.0148572,0.102087,0.0,0.000936436,-1.83245,-0.0760683,0.00138624,-0.473144,0.0015482,0.0594287,0.0148572,0.00147493,0.00559452,-0.0760683,0.0579538,0.000442478,0.00147493,0.00322229,0.00199068,0.0183046,0.73164,0.306261,-0.0,0.115633,0.03621,0.00415873,-0.522682,-0.0,0.00362832,0.016782,-0.00711323,-0.0127077,0.0168296,0.00138624,0.408348,0.112597,2.15641,0.780815,-1.36707,-0.00348939
