wrench_mx.txt,wrench_mz.txt,wrench_fy.txt,proportionalf_4.txt,integralf_1.txt,wrench_fz.txt,integralf_3.txt,integralf_2.txt,wrench_my.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_4.txt,proportionalf_3.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,accd4.txt,accd2.txt,trq1.txt,vela2.txt,posd2.txt,error_vel_2.txt,error_pos_3.txt,accd3.txt,trq3.txt,posd3.txt,veld2.txt,vela1.txt,posa3.txt,trq2.txt,trq5.txt,accd1.txt,posa4.txt,veld3.txt,error_pos_4.txt,vela4.txt,accd5.txt,posa1.txt,posa2.txt,posd1.txt,posd4.txt,error_vel_4.txt,vela3.txt,veld5.txt,posa5.txt,error_pos_5.txt,error_vel_1.txt,veld1.txt,error_pos_2.txt,vela5.txt,error_pos_1.txt,trq4.txt,error_vel_3.txt,veld4.txt,posd5.txt,error_vel_5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,1.944,1.08,1.75071,0.0147682,0.00856,0.106732,0.00612691,-0.863983,-1.85255,-0.00686357,0.1215,0.126872,-0.0129905,0.904098,-0.514892,3.24,0.00378319,-0.0971981,0.0116248,0.0058997,0.119446,0.00584014,0.000644429,0.02568,0.015408,0.2128,0.0,0.0134376,0.000331858,0.000636983,0.237628,0.3645,0.00791557,-0.0,0.0198399,0.050694,-0.0971981,0.2187,0.000968842,0.0134376,-1.30154,0.78268,1.16273,0.00236785,2.43949
,,,,,,,,,,,,,,,,2.00449,1.1136,1.86568,0.0268512,0.00982957,0.105618,0.00511128,-0.890866,-1.8961,-0.00787921,0.13247,0.153052,-0.0129905,0.857064,-0.504455,3.34081,0.0038938,-0.105974,0.0137994,0.00884956,0.123162,0.0073908,0.000976713,0.0294887,0.0176932,0.229596,0.0010472,0.0146508,0.000353982,0.000755271,0.244357,0.397409,0.00885285,0.00147493,0.0220979,0.050694,-0.107021,0.238445,0.00110925,0.0131759,-1.56372,0.574764,1.04349,0.00225937,1.95184
,,,,,,,,,,,,,,,,2.06177,1.14543,1.79252,0.0349066,0.0112105,0.10886,0.00400657,-0.916326,-1.91285,-0.00898392,0.143766,0.177218,-0.0129905,0.857064,-0.497497,3.43629,0.00400442,-0.115011,0.0161744,0.0103245,0.126682,0.00942478,0.00136941,0.0336314,0.0201789,0.248455,0.0,0.0159002,0.000376106,0.000885873,0.25408,0.431298,0.00984107,0.00147493,0.0242067,0.068799,-0.115011,0.258779,0.00126198,0.0144253,-1.60785,0.508785,0.842705,0.00132073,1.63617
,,,,,,,,,,,,,,,,2.1159,1.1755,2.00678,0.0389343,0.0127059,0.116438,0.00281024,-0.940383,-1.94635,-0.0101802,0.155372,0.197356,-0.0129905,0.81003,-0.48706,3.5265,0.00415929,-0.124295,0.0187114,0.0132743,0.130008,0.0113178,0.00175204,0.0381178,0.0228707,0.266396,0.0,0.0171838,0.00039823,0.00102914,0.26876,0.466117,0.0109539,-0.0,0.0268,0.097767,-0.124295,0.27967,0.00142737,0.0171838,-1.55733,0.556427,1.32406,0.00468718,1.70609
,,,,,,,,,,,,,,,,2.16691,1.20384,2.09563,0.0402768,0.0143189,0.126994,0.00151988,-0.963053,-1.9966,-0.0114706,0.16727,0.230249,-0.0129905,0.96681,-0.469665,3.61152,0.00446903,-0.133814,0.021305,0.0221239,0.133142,0.0139358,0.00215481,0.0429567,0.025774,0.278963,0.0,0.0184998,0.000420354,0.00118541,0.271562,0.501811,0.0121641,0.00147493,0.0290209,0.159324,-0.133814,0.301087,0.00160576,0.0170248,-1.38146,0.786807,0.608316,0.000163382,1.66965
,,,,,,,,,,,,,,,,2.21484,1.23047,2.17924,0.038263,0.0160522,0.14118,0.000133233,-0.984356,-2.0636,-0.0128573,0.179443,0.24636,-0.0129905,0.951132,-0.459228,3.69141,0.00502212,-0.143552,0.0238719,0.0442478,0.136087,0.0166041,0.00259786,0.0481567,0.028894,0.27875,0.0,0.0198461,0.000420354,0.00137711,0.29197,0.53833,0.0134544,0.00147493,0.0315526,0.191913,-0.143552,0.322998,0.00179747,0.0183711,-0.751305,1.42817,1.42057,0.00161824,3.28722
,,,,,,,,,,,,,,,,2.25974,1.25541,2.26286,0.0490035,0.0179086,0.142871,-0.00135184,-1.00431,-2.1172,-0.0143423,0.191874,0.279924,-0.0129905,1.07656,-0.45227,3.76623,0.00595133,-0.153496,0.0262842,0.0766962,0.138846,0.0193832,0.00310132,0.0537259,0.0322355,0.268677,0.0,0.0212209,0.000442478,0.0015603,0.295698,0.575622,0.0148073,0.00147493,0.0343427,0.228123,-0.153496,0.345373,0.00200278,0.0197459,-0.869458,1.30884,1.26096,0.000958363,2.96928
,,,,,,,,,,,,,,,,2.30164,1.27869,2.41964,0.0570588,0.0198905,0.147487,-0.00292163,-1.02293,-2.1507,-0.0159278,0.204546,0.310132,-0.0130062,1.17585,-0.434875,3.83606,0.00710177,-0.163634,0.0287012,0.10767,0.14142,0.0227161,0.00366519,0.0596716,0.035803,0.260513,0.0,0.0226224,0.000464602,0.00175737,0.303506,0.613638,0.0162253,-0.0,0.0369555,0.260712,-0.163634,0.368183,0.00222197,0.0226224,-1.68436,0.478763,1.08424,0.00428299,1.20855
,,,,,,,,,,,,,,,,2.34058,1.30032,2.43532,0.0510173,0.0220003,0.166425,-0.0045937,-1.04024,-2.18085,-0.0176156,0.217442,0.338997,-0.0130219,1.54167,-0.427917,3.90096,0.00831858,-0.173951,0.0312819,0.123894,0.143813,0.0262605,0.00417872,0.0660009,0.0396005,0.267503,-0.0010472,0.0240487,0.000464602,0.00199071,0.313331,0.652327,0.0178216,0.00147493,0.0397404,0.307785,-0.172903,0.391396,0.00245531,0.0225737,-2.05109,0.030314,1.23385,0.00598129,0.662234
,,,,,,,,,,,,,,,,2.3766,1.32033,2.50325,0.0449758,0.0242401,0.185571,-0.00638549,-1.05625,-2.2646,-0.0194074,0.230547,0.371218,-0.0130219,2.02769,-0.41748,3.961,0.00960177,-0.184434,0.0340304,0.120944,0.146026,0.0299559,0.00453114,0.0727202,0.0436321,0.294041,-0.0010472,0.025498,0.000486726,0.0022163,0.320423,0.691641,0.0197089,0.00147493,0.0427643,0.336753,-0.183387,0.414985,0.00270302,0.0240231,-2.18278,-0.097507,0.960075,0.00576632,-0.28688
