proportionalf_5.txt,wrench_fy.txt,proportionalf_3.txt,integralf_4.txt,integralf_5.txt,integralf_1.txt,proportionalf_4.txt,integralf_3.txt,wrench_my.txt,wrench_mz.txt,integralf_2.txt,proportionalf_1.txt,wrench_fz.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_2.txt,posa4.txt,posa5.txt,trq1.txt,error_vel_1.txt,trq4.txt,veld5.txt,error_vel_5.txt,error_pos_4.txt,trq3.txt,error_vel_4.txt,vela1.txt,vela2.txt,accd5.txt,error_pos_2.txt,veld4.txt,accd3.txt,posa3.txt,posd3.txt,error_pos_5.txt,accd1.txt,trq2.txt,posd1.txt,posd4.txt,posa1.txt,error_vel_2.txt,veld3.txt,trq5.txt,accd2.txt,posd5.txt,accd4.txt,veld2.txt,vela3.txt,vela4.txt,veld1.txt,posa2.txt,posd2.txt,error_vel_3.txt,error_pos_1.txt,vela5.txt,error_pos_3.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_1.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.242655,0.00367257,1.92839,0.0529409,0.713337,0.474872,0.474872,0.0759217,-3.3567,-0.0167057,1.02706,0.00067128,0.196934,0.0590173,0.431672,-0.119172,-0.148707,-0.229535,0.346648,0.45,3.16173,0.7936,0.318577,0.687173,0.0857287,-0.300262,0.100891,0.036,0.350321,0.178934,0.0864,-0.367566,0.448378,1.08,0.00447073,0.063488,0.0673039,0.106427,-0.0,-0.0808274,0.484322,-0.00105219,-1.40548,0.200624,1.444
,,,,,,,,,,,,,,,,0.247301,0.00369469,1.88136,0.0526902,0.532287,0.476819,0.476819,0.0756012,-3.38015,-0.0178868,1.03176,0.00201384,0.192392,0.059873,0.433441,-0.116346,-0.15232,-0.232543,0.351384,0.439653,3.19309,0.804422,0.322902,0.697806,0.084742,-0.30144,0.06958,0.0351722,0.355079,0.174806,0.0867559,-0.36233,0.451327,1.08445,0.0044808,0.0643538,0.0608903,0.106616,-0.0,-0.0802231,0.219389,0.00130716,-1.9242,0.341813,0.958513
,,,,,,,,,,,,,,,,0.251726,0.00369469,1.85,0.0476368,0.673506,0.47872,0.477245,0.0755195,-3.40025,-0.0205843,1.04116,0.00067128,0.187821,0.0607322,0.435168,-0.113503,-0.156059,-0.235563,0.356162,0.429237,3.24535,0.815289,0.327245,0.708369,0.0864321,-0.302589,0.086975,0.0343389,0.359857,0.170651,0.0871034,-0.365472,0.455752,1.08879,0.00449087,0.0652231,0.0628826,0.10692,0.00147493,-0.0795048,0.610648,-0.00240561,-1.2529,0.078062,1.52941
,,,,,,,,,,,,,,,,0.256372,0.00369469,1.88659,0.049863,0.572118,0.480575,0.480575,0.0752337,-3.36675,-0.0277482,1.04317,0.00067128,0.18322,0.0615949,0.436854,-0.110641,-0.159609,-0.238595,0.360959,0.418754,3.2767,0.826198,0.331605,0.718488,0.0867713,-0.30371,0.093933,0.0335003,0.364653,0.16647,0.0874426,-0.359189,0.464602,1.09303,0.00450094,0.0660958,0.0554787,0.10771,-0.0,-0.0789863,0.114672,-0.000328246,-2.00332,0.101415,0.814428
,,,,,,,,,,,,,,,,0.261084,0.00369469,1.92317,0.0513127,0.611949,0.482384,0.482384,0.0748981,-3.4639,-0.0231547,1.04585,0.00067128,0.17859,0.0624609,0.438497,-0.107762,-0.163127,-0.241637,0.365773,0.408206,3.29761,0.837149,0.335982,0.728829,0.0871021,-0.304802,0.052185,0.0326565,0.369468,0.162262,0.0877734,-0.361283,0.461652,1.09717,0.004511,0.0669719,0.0564811,0.10832,-0.0,-0.0785103,0.570014,-0.000957035,-1.27783,0.237122,1.5286
,,,,,,,,,,,,,,,,0.265819,0.00369469,1.95452,0.0493002,0.655401,0.484147,0.484147,0.0745566,-3.4036,-0.0289278,1.0519,0.00067128,0.173933,0.0633201,0.440099,-0.104865,-0.166614,-0.244691,0.370606,0.397595,3.34464,0.848141,0.340375,0.739432,0.0874245,-0.305865,0.076538,0.0318076,0.374301,0.158029,0.0880957,-0.355,0.469027,1.1012,0.00453114,0.0678513,0.0491347,0.108709,-0.0,-0.0780765,0.284364,-0.000559756,-1.87891,0.158068,1.12927
,,,,,,,,,,,,,,,,0.27031,0.00369469,1.90749,0.0491952,0.499698,0.485862,0.485862,0.0744742,-3.4773,-0.0317936,1.05592,0.00201384,0.169249,0.0641926,0.441658,-0.101952,-0.170086,-0.247755,0.375456,0.386923,3.3969,0.859173,0.344784,0.749542,0.0863957,-0.306899,0.090454,0.0309538,0.379151,0.153772,0.0884096,-0.359189,0.473451,1.10512,0.00454121,0.0687338,0.0522894,0.109631,-0.0,-0.0776689,0.160665,-0.0006189,-1.76242,0.0894792,0.910037
,,,,,,,,,,,,,,,,0.275044,0.00369469,1.89704,0.050997,0.702474,0.487531,0.487531,0.0741639,-3.4103,-0.0229026,1.05794,0.00201384,0.164538,0.0650581,0.443174,-0.0990234,-0.173746,-0.250829,0.380323,0.37619,3.40213,0.870243,0.349208,0.760346,0.086701,-0.307904,0.100891,0.0300952,0.384018,0.149491,0.0887148,-0.355,0.466077,1.10894,0.00456135,0.0696194,0.0470957,0.109897,-0.0,-0.077083,0.264744,-0.00092167,-1.87413,0.0670113,1.01878
,,,,,,,,,,,,,,,,0.279491,0.00369469,1.91272,0.0526911,0.539529,0.489153,0.489153,0.0741562,-3.49405,-0.025854,1.05995,0.00201384,0.159803,0.0659165,0.444647,-0.0960787,-0.177249,-0.253913,0.385207,0.3654,3.42826,0.881351,0.353647,0.770758,0.0869976,-0.30888,0.100891,0.029232,0.388901,0.145187,0.0890114,-0.358142,0.470501,1.11264,0.00459156,0.0705081,0.0492618,0.110593,-0.0,-0.076664,0.118103,0.00183339,-1.90161,0.471215,0.954671
,,,,,,,,,,,,,,,,0.284292,0.00369469,1.9702,0.0442079,0.666264,0.490727,0.490727,0.0738089,-3.3835,-0.019999,1.07203,0.00201384,0.155042,0.0667779,0.446078,-0.0931189,-0.180689,-0.257006,0.390106,0.354553,3.48574,0.892495,0.358101,0.78124,0.0872856,-0.309826,0.052185,0.0283643,0.393801,0.14086,0.0892994,-0.358142,0.466077,1.11624,0.00462177,0.0713996,0.0483158,0.111256,-0.0,-0.0763175,0.565293,-0.00144471,-1.26042,0.18328,1.62299
