integralf_4.txt,wrench_my.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_1.txt,integralf_1.txt,wrench_fy.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_5.txt,wrench_fz.txt,proportionalf_3.txt,integralf_5.txt,integralf_2.txt,proportionalf_4.txt,integralf_3.txt,trq5.txt,posa1.txt,accd4.txt,veld2.txt,trq3.txt,trq4.txt,error_pos_5.txt,veld5.txt,error_vel_1.txt,accd5.txt,vela2.txt,posa4.txt,error_pos_4.txt,posa2.txt,trq2.txt,error_vel_3.txt,error_vel_5.txt,vela3.txt,error_pos_3.txt,posa3.txt,vela4.txt,veld3.txt,error_pos_2.txt,posd3.txt,veld1.txt,error_pos_1.txt,accd2.txt,posd1.txt,accd3.txt,vela1.txt,trq1.txt,vela5.txt,error_vel_4.txt,veld4.txt,posd2.txt,error_vel_2.txt,posd5.txt,posd4.txt,accd1.txt,posa5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,-0.720153,-0.0,0.127665,0.0253828,-1.73865,0.057936,-0.000203772,0.00187152,0.00846094,0.0177302,0.00268512,0.00360619,-0.00234465,0.000261799,0.62712,-0.0261437,0.000396597,0.00314159,0.0105716,-0.012315,0.00442478,-0.0230021,0.00147539,-0.00174345,0.00846094,0.000579062,0.240469,0.000579062,-0.207991,-0.0,-0.0,0.00147493,0.0105263,0.0149511,0.00173719,0.0226977,0.00015021,0.00126155,0.0801562,0.000353982,-2.11137,0.0923198,0.654797,-0.00116025,-0.0031634
,,,,,,,,,,,,,,,,-0.709716,-0.0,0.132952,0.0278375,-1.7219,0.057936,-0.000206282,0.00205251,0.00927915,0.0184646,0.00201384,0.00358407,-0.00216654,0.000281938,0.668928,-0.0251252,0.000577583,0.0,0.010331,-0.012315,-0.00147493,-0.0251252,0.00172127,-0.00198401,0.00927915,0.000667735,0.250429,0.000667735,-0.216605,-0.0,-0.0,0.00147493,0.0177292,0.0162542,0.00200321,0.0258236,0.000169824,0.00141753,0.0834762,0.000376106,-1.7541,0.383102,1.10482,-0.00204852,0.00518184
,,,,,,,,,,,,,,,,-0.692321,-0.0,0.138139,0.0303908,-1.7085,0.057936,-0.000206946,0.00224077,0.0101303,0.019185,0.00268512,0.00358407,-0.00199726,0.000312145,0.70551,-0.0273336,0.000765843,0.0,0.0100688,-0.012315,-0.0,-0.0273336,0.00198212,-0.00224623,0.0101303,0.000764755,0.2602,0.000764755,-0.225056,-0.0,-0.0,0.00147493,0.0176098,0.0176098,0.00229427,0.0277056,0.000191284,0.00158681,0.0867333,0.00039823,-1.76538,0.368417,1.11713,-0.00201781,0.0127639
,,,,,,,,,,,,,,,,-0.681884,-0.0,0.143226,0.0330408,-1.7018,0.050694,-0.000205691,0.00243616,0.0110136,0.0198916,0.00402768,0.00358407,-0.00181417,0.000362491,0.736866,-0.0296258,0.000961238,0.0,0.00978408,-0.012315,-0.0,-0.0296258,0.00224885,-0.00253096,0.0110136,0.000870448,0.269783,0.000870448,-0.233345,-0.0,-0.0,0.00147493,0.0190167,0.0190167,0.00261134,0.0290131,0.000214663,0.0017699,0.0899278,0.000420354,-1.72366,0.41096,1.23536,-0.00217442,0.0255294
,,,,,,,,,,,,,,,,-0.667968,-0.0,0.148214,0.0357858,-1.69845,0.054315,-0.000202447,0.00263856,0.0119286,0.0205845,0.0067128,0.00358407,-0.00161676,0.000422907,0.762996,-0.032,0.00116363,0.0,0.00947602,-0.012315,-0.0,-0.032,0.00253249,-0.00283902,0.0119286,0.000985133,0.27918,0.000985133,-0.241472,-0.0,-0.0,0.00147493,0.020474,0.020474,0.0029554,0.029073,0.000240031,0.00196731,0.09306,0.000442478,-1.64983,0.489449,1.40034,-0.00244001,0.037097
,,,,,,,,,,,,,,,,-0.654052,-0.0,0.153103,0.0386238,-1.70515,0.057936,-0.000197144,0.00284781,0.0128746,0.0212636,0.0107405,0.00360619,-0.00142665,0.000553806,0.789126,-0.0344547,0.00137288,0.0,0.00914381,-0.012315,0.00147493,-0.0344547,0.00277356,-0.00317123,0.0128746,0.00110912,0.288391,0.00110912,-0.249438,-0.0,-0.0,0.00147493,0.0205057,0.0219806,0.00332737,0.0278833,0.000267457,0.00217954,0.0961304,0.000464602,-1.54715,0.587754,1.77994,-0.00284856,0.0905723
,,,,,,,,,,,,,,,,-0.633178,-0.0,0.157895,0.041553,-1.70515,0.050694,-0.000189716,0.00306378,0.013851,0.0219292,0.0201384,0.00360619,-0.00119911,0.000755191,0.778674,-0.0369882,0.00158886,0.0,0.00878666,-0.012315,-0.0,-0.0369882,0.00297299,-0.00352838,0.013851,0.00124273,0.297418,0.00124273,-0.257245,-0.0,-0.0,0.00147493,0.0235357,0.0235357,0.00372818,0.0214146,0.00029701,0.00240708,0.0991392,0.000486726,-1.46214,0.680901,1.93213,-0.00353684,0.0942691
,,,,,,,,,,,,,,,,-0.615783,-0.0,0.162588,0.0445716,-1.70515,0.047073,-0.000180095,0.00328635,0.0148572,0.0225812,0.0302076,0.00362832,-0.000977907,0.00105727,0.710736,-0.039599,0.00328635,0.0,0.00840379,-0.012315,0.00147493,-0.039599,0.00310146,-0.00391125,0.0148572,0.00138624,0.306261,0.00138624,-0.264893,-0.0,-0.0,-0.0,0.0236633,0.0251382,0.00415873,0.0143639,0.000328755,0.00265041,0.102087,0.00050885,-1.93343,0.197351,0.64044,-0.000994379,-0.0380023
,,,,,,,,,,,,,,,,-0.615783,-0.0,0.167185,0.0476776,-1.71855,0.043452,-0.000168215,0.00351536,0.0158925,0.0232197,0.0261799,0.00365044,-0.000740442,0.0013392,0.689832,-0.0422856,0.00204044,0.0,0.00799443,-0.012315,0.00147493,-0.0422856,0.0032807,-0.00432061,0.0158925,0.00153997,0.314921,0.00153997,-0.272383,-0.0,-0.0,0.00147493,0.0253122,0.0267871,0.0046199,0.0214977,0.000362758,0.00291,0.104974,0.000530973,-1.72481,0.410139,1.23164,-0.00216983,0.0255652
,,,,,,,,,,,,,,,,-0.601867,-0.0,0.171686,0.0508694,-1.7353,0.03621,-0.000154014,0.0037507,0.0169565,0.0238449,0.0288651,0.00367257,-0.00048626,0.00162114,0.616668,-0.0450462,0.00227577,0.0,0.00755783,-0.012315,0.00147493,-0.0450462,0.00349142,-0.00475721,0.0169565,0.00170419,0.3234,0.00170419,-0.279716,-0.0,-0.0,0.00147493,0.0270067,0.0284816,0.00511257,0.0220043,0.000399083,0.00318631,0.1078,0.000553097,-1.76551,0.375126,1.02772,-0.0012091,-0.00815999
