wrench_mz.txt,wrench_my.txt,wrench_fz.txt,wrench_fx.txt,integralf_3.txt,integralf_1.txt,proportionalf_5.txt,integralf_5.txt,wrench_mx.txt,proportionalf_3.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_4.txt,wrench_fy.txt,integralf_4.txt,posd4.txt,accd1.txt,error_vel_5.txt,veld5.txt,trq5.txt,posd2.txt,error_vel_3.txt,posa1.txt,error_vel_4.txt,veld4.txt,trq4.txt,veld3.txt,posa2.txt,error_pos_3.txt,posd1.txt,accd2.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,posa4.txt,error_vel_1.txt,trq2.txt,posd3.txt,error_pos_2.txt,veld1.txt,vela4.txt,vela2.txt,error_pos_5.txt,posa3.txt,posa5.txt,error_pos_1.txt,trq1.txt,vela5.txt,vela3.txt,vela1.txt,accd3.txt,accd4.txt,posd5.txt,accd5.txt,trq3.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.386747,-0.394044,0.0416331,0.0416331,-0.006958,0.386271,0.00762545,1.08299,-0.0437533,0.19076,0.673506,-0.382979,0.352503,-0.0611009,1.15881,-0.131348,0.062853,0.191493,-0.0360715,0.323894,-0.0182628,2.83249,-0.772546,0.0337684,0.574478,0.234513,0.227564,0.0821289,-0.711445,0.00380531,0.07582,1.34308,-0.0,-0.390605,0.592741,0.262692,-0.131067,0.0859342,-0.0287786,-2.93125,-0.000885943,-0.145093,-0.177267,-2.22317,-0.960523
,,,,,,,,,,,,,,,,0.388648,-0.399015,0.0413436,0.0413436,0.031311,0.38818,0.0134106,1.08886,-0.0332728,0.189441,0.753168,-0.380336,0.354778,-0.0609748,1.16454,-0.133005,0.0624752,0.190171,-0.0340368,0.326173,-0.019543,2.70707,-0.776363,0.0334011,0.570513,0.222714,0.224208,0.0825437,-0.715388,0.00380531,0.0756747,1.35353,-0.0,-0.393746,0.590056,0.266006,-0.132713,0.0863491,-0.0291337,-2.97815,-0.00390918,0.732797,-0.215776,-1.01062,0.627435
,,,,,,,,,,,,,,,,0.390536,-0.40392,0.0410505,0.0410505,-0.0,0.390075,0.00980383,1.09473,-0.0478824,0.188106,0.883524,-0.377659,0.356984,-0.0608535,1.17022,-0.13464,0.0620621,0.188833,-0.03269,0.328473,-0.0195301,2.69139,-0.780153,0.033091,0.566498,0.235988,0.221523,0.0829557,-0.719299,0.00380531,0.0754894,1.37966,-0.0,-0.387463,0.586028,0.269276,-0.134336,0.086761,-0.0294839,-2.9279,-0.00146084,-0.157324,-0.377103,-2.38364,-1.28609
,,,,,,,,,,,,,,,,0.39241,-0.408757,0.0407539,0.0407539,0.045227,0.391956,0.0187959,1.1006,-0.0433341,0.186754,0.916113,-0.37495,0.359118,-0.0606739,1.17587,-0.136252,0.0616134,0.187478,-0.0286742,0.330796,-0.017552,2.81159,-0.783916,0.0328379,0.562434,0.230088,0.216152,0.0833647,-0.723242,0.00380531,0.0752638,1.38489,-0.0,-0.393746,0.579986,0.272501,-0.135937,0.0871701,-0.0298293,-2.95805,-0.00158224,0.0329846,-0.189478,-1.76703,-0.57442
,,,,,,,,,,,,,,,,0.394271,-0.413526,0.0404539,0.0404539,0.020874,0.393824,0.0152537,1.10611,-0.0314271,0.185387,0.814725,-0.372209,0.361243,-0.0606713,1.18147,-0.137842,0.0613945,0.186108,-0.026017,0.332876,-0.0183071,2.64958,-0.787651,0.0325812,0.558323,0.216814,0.212125,0.0837708,-0.72698,0.00380531,0.0753598,1.40057,-0.0,-0.387463,0.57663,0.27568,-0.137516,0.0875761,-0.0301697,-2.9078,-0.00291782,0.354896,-0.13743,-1.49286,0.266483
,,,,,,,,,,,,,,,,0.396118,-0.418225,0.0401505,0.0401505,-0.013916,0.395678,0.0180262,1.11183,-0.0298602,0.184004,0.709716,-0.369437,0.363317,-0.060641,1.18703,-0.139408,0.0611618,0.184721,-0.0294171,0.334956,-0.0184382,2.84817,-0.79136,0.0323611,0.554164,0.213864,0.214138,0.0841738,-0.730719,0.00380531,0.0752029,1.40057,-0.0,-0.387463,0.572602,0.278812,-0.139071,0.0879791,-0.0305051,-3.0016,-0.00175811,0.192414,-0.256402,-1.7737,-0.713889
,,,,,,,,,,,,,,,,0.397951,-0.422854,0.0398438,0.0398438,0.020874,0.397518,0.0176882,1.11793,-0.0342084,0.182606,0.792999,-0.366633,0.365603,-0.0600331,1.19256,-0.140951,0.0606055,0.18332,-0.0227636,0.337345,-0.0199585,2.59732,-0.79504,0.0319156,0.549959,0.216814,0.206083,0.0845738,-0.735007,0.00380531,0.0746216,1.37444,-0.0,-0.384322,0.569917,0.281898,-0.140603,0.0883791,-0.0308354,-2.90445,-0.00368616,0.51828,-0.202869,-1.2416,0.499203
,,,,,,,,,,,,,,,,0.39977,-0.427411,0.0395338,0.0395338,-0.010437,0.399345,0.0173808,1.12333,-0.0370969,0.181192,0.890766,-0.363799,0.367617,-0.0599939,1.19803,-0.14247,0.0603006,0.181902,-0.0255233,0.339469,-0.0188397,2.78546,-0.798692,0.0317279,0.545707,0.218289,0.207426,0.0849707,-0.738698,0.00380531,0.0747029,1.39534,-0.0,-0.38118,0.564547,0.284936,-0.142111,0.088776,-0.0311605,-2.96475,-0.00234452,0.431768,-0.134045,-1.29695,0.205708
,,,,,,,,,,,,,,,,0.401574,-0.431895,0.0377457,0.0392206,-0.017395,0.401156,0.013962,1.1289,-0.0385255,0.179764,0.916113,-0.360935,0.36954,-0.0598948,1.20347,-0.143965,0.0598709,0.18047,-0.0249416,0.341704,-0.0204511,2.64958,-0.802316,0.0316165,0.541411,0.218289,0.205412,0.0853423,-0.742421,0.00382743,0.0745703,1.39534,0.00147493,-0.374897,0.561862,0.287925,-0.143594,0.0891698,-0.0314804,-2.91785,-0.0030446,-0.150556,-0.604561,-2.45955,-1.38605
,,,,,,,,,,,,,,,,0.403365,-0.436305,0.0389042,0.0389042,0.027832,0.402954,0.0262807,1.13448,-0.0355439,0.17832,0.807483,-0.358041,0.371594,-0.0596727,1.20886,-0.145435,0.0596259,0.179023,-0.0223609,0.343739,-0.0133804,2.65481,-0.805911,0.0313599,0.53707,0.213864,0.201384,0.085733,-0.746238,0.00382743,0.0743844,1.43715,-0.0,-0.384322,0.55045,0.290865,-0.145054,0.0895604,-0.031795,-2.97815,-0.0019387,0.175678,-0.0187871,-1.23505,0.172913
