wrench_my.txt,wrench_mx.txt,wrench_fy.txt,proportionalf_2.txt,proportionalf_4.txt,integralf_1.txt,integralf_4.txt,proportionalf_3.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,integralf_5.txt,wrench_fz.txt,wrench_mz.txt,proportionalf_5.txt,wrench_fx.txt,error_vel_2.txt,trq1.txt,vela3.txt,trq3.txt,accd4.txt,error_vel_3.txt,vela4.txt,posd5.txt,error_pos_5.txt,vela5.txt,error_vel_1.txt,posa2.txt,posa3.txt,error_vel_5.txt,trq5.txt,veld4.txt,accd5.txt,posa5.txt,veld5.txt,trq2.txt,posd2.txt,trq4.txt,posd4.txt,posd1.txt,posa1.txt,vela1.txt,error_pos_1.txt,vela2.txt,posa4.txt,veld2.txt,error_pos_4.txt,veld3.txt,error_pos_2.txt,posd3.txt,accd3.txt,error_vel_4.txt,veld1.txt,accd1.txt,accd2.txt,error_pos_3.txt,estimated_trqs_5.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.0247115,-0.0,0.0,-1.7554,0.320625,-0.04332,0.00147493,0.00610357,0.00574959,0.00147493,0.00846094,0.000221523,-0.0124721,0.0845484,-0.709716,0.0338437,0.800981,0.000353982,0.0860233,0.668928,0.00173719,0.065178,0.00231625,0.000579062,-0.0,-0.0,0.000579062,0.00067128,0.000619469,0.0253828,0.00169678,-0.04332,0.00151566,-0.0029648,-0.4104,0.0323688,0.00846094,0.0801562,0.240469,0.00950732,-0.00187574,3.72829e-09,-1.80453,0.328366,1.00157
,,,,,,,,,,,,,,,,0.0271662,-0.0,0.0,-1.7554,0.333905,-0.0475093,0.00147493,0.00700441,0.0066283,0.00147493,0.00927915,0.000241661,-0.0124721,0.0927246,-0.6958,0.0371166,0.834156,0.000376106,0.0941995,0.689832,0.00200321,0.076041,0.00267094,0.000667735,-0.0,-0.0,0.000667735,0.00067128,0.000663717,0.0278375,0.00200722,-0.0475093,0.00176154,-0.0034188,-0.427398,0.0356417,0.00927915,0.0834762,0.250429,0.00905332,-0.00275193,0.00886037,-1.66654,0.478858,1.26037
,,,,,,,,,,,,,,,,0.0283769,-0.0,0.0,-1.7554,0.346933,-0.0518669,0.0058997,0.00798866,0.00759043,-0.0,0.0101303,0.000261799,-0.0124721,0.102704,-0.681884,0.040521,0.866702,0.00039823,0.102704,0.726414,0.00229427,0.090525,0.00305902,0.000764755,-0.0,-0.0,0.000764755,0.00201384,0.000730088,0.0303908,0.00232893,-0.0518669,0.00203247,-0.00391555,-0.444074,0.0346213,0.0101303,0.0867333,0.2602,0.00855658,-0.00148244,0.000310511,-1.80475,0.328138,1.00116
,,,,,,,,,,,,,,,,0.031027,-0.0,0.0,-1.7554,0.359711,-0.0563897,0.0058997,0.00905957,0.00866134,0.00147493,0.0110136,0.000281938,-0.0124721,0.110057,-0.66101,0.0440544,0.898623,0.00039823,0.111531,0.778674,0.00261134,0.101388,0.00348179,0.000870448,-0.0,-0.0,0.000870448,0.00201384,0.000818584,0.0330408,0.00266321,-0.0563897,0.00232941,-0.00445669,-0.46043,0.0381547,0.0110136,0.0899278,0.269783,0.00801543,-0.00228003,0.00278783,-1.68765,0.457309,1.20072
,,,,,,,,,,,,,,,,0.0331007,-0.0,0.0,-1.76545,0.37224,-0.0610744,0.0103245,0.0102203,0.00979999,0.00147493,0.0119286,0.000302076,-0.0124721,0.1192,-0.640136,0.0477144,0.929922,0.000420354,0.120675,0.804804,0.0029554,0.112251,0.00394053,0.000985133,-0.0,-0.0,0.000985133,0.00268512,0.000929203,0.0357858,0.00301133,-0.0610744,0.00265332,-0.00504388,-0.476467,0.0373899,0.0119286,0.09306,0.27918,0.00742824,-0.00241912,-0.0059926,-1.64445,0.507823,1.2349
,,,,,,,,,,,,,,,,0.0359387,-0.0,0.0,-1.77885,0.384521,-0.065918,0.0176991,0.0114741,0.0110316,0.00147493,0.0128746,0.000342353,-0.0124721,0.128653,-0.629699,0.0514984,0.960603,0.000442478,0.130128,0.846612,0.00332737,0.130356,0.00443649,0.00110912,-0.0,-0.0,0.00110912,0.00268512,0.00110619,0.0386238,0.0033303,-0.065918,0.00298502,-0.00567871,-0.492188,0.0337993,0.0128746,0.0961304,0.288391,0.00679341,-0.00287138,0.0107601,-1.51784,0.643424,1.50579
,,,,,,,,,,,,,,,,0.036854,-0.0,0.0,-1.81905,0.396557,-0.0709171,0.0280236,0.0128239,0.0123593,0.00147493,0.013851,0.000402768,-0.0124721,0.13841,-0.605346,0.055404,0.990668,0.000464602,0.139885,0.877968,0.00372818,0.155703,0.0049709,0.00124273,-0.0,-0.0,0.00124273,0.00469896,0.00146018,0.041553,0.00351073,-0.0709171,0.00332541,-0.00636276,-0.507593,0.0273804,0.013851,0.0991392,0.297418,0.00610936,-0.00436959,0.0200099,-1.1987,0.994699,2.0573
,,,,,,,,,,,,,,,,0.0358449,-0.0,0.0,-1.82575,0.408348,-0.0760688,0.0501475,0.0142728,0.0137861,-0.0,0.0148572,0.00051353,-0.0124721,0.149939,-0.587951,0.0594287,1.02012,0.000486726,0.149939,0.893646,0.00415873,0.166566,0.00554497,0.00138624,-0.0,-0.0,0.00138624,0.00872665,0.0020354,0.0445716,0.00350957,-0.0760688,0.0036452,-0.00709756,-0.522685,0.00928125,0.0148572,0.102087,0.306261,0.00537456,-0.00383168,0.0794681,-1.09453,1.09985,2.35857
,,,,,,,,,,,,,,,,0.0315669,-0.0,0.0,-1.84585,0.419895,-0.0813698,0.0722714,0.0158237,0.0153369,0.00147493,0.0152213,0.000714914,-0.0124721,0.15881,-0.577514,0.0635702,1.04897,0.000486726,0.160285,0.867516,0.0046199,0.184671,0.00615987,0.00153997,1.00692e-05,0.00067128,0.0015299,0.0161107,0.00287611,0.0476776,0.00328376,-0.0813698,0.00390499,-0.00788463,-0.537466,-0.00870123,0.0158925,0.104974,0.314921,0.00458749,-0.00380464,0.069266,-1.3124,0.84717,2.17289
,,,,,,,,,,,,,,,,0.0240182,-0.0,0.0,-1.87935,0.431201,-0.0868171,0.079646,0.0174794,0.0169706,0.00147493,0.0169565,0.00102706,-0.0124721,0.169442,-0.560119,0.0678258,1.07721,0.00050885,0.170917,0.7839,0.00511257,0.195534,0.00681675,0.00170419,1.00692e-05,-0.0,0.00169412,0.0268512,0.00369469,0.0508694,0.00312206,-0.0868171,0.00408551,-0.00872545,-0.551937,-0.0118202,0.0169565,0.1078,0.3234,0.00374668,-0.00220242,0.0179681,-1.71293,0.425138,1.22058
